filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCP639.COB ; 3272 ; 1019 ; 298 ; 163; 33 ; 40 ; 33; 24;  0; 0
ALCP644.COB ; 1279 ; 475 ; 144 ; 33; 29 ; 35 ; 27; 22;  0; 0
ALCP666.COB ; 6147 ; 3804 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
ALCP667.COB ; 1098 ; 693 ; 198 ; 86; 22 ; 25 ; 20; 17;  0; 0
ALCP676.COB ; 1958 ; 887 ; 327 ; 126; 95 ; 89 ; 95; 53;  0; 0
ALCP679.COB ; 1586 ; 870 ; 257 ; 123; 28 ; 25 ; 28; 17;  0; 0
ALCP680.COB ; 575 ; 433 ; 115 ; 50; 80 ; 74 ; 80; 37;  0; 0
ALCP686.COB ; 3501 ; 1400 ; 607 ; 367; 55 ; 35 ; 55; 24;  0; 0
ALCP687.COB ; 2884 ; 882 ; 305 ; 144; 38 ; 33 ; 38; 22;  0; 0
ALCP688.COB ; 3488 ; 1207 ; 419 ; 221; 115 ; 74 ; 115; 49;  0; 0
ALCP689.COB ; 992 ; 746 ; 218 ; 111; 36 ; 36 ; 36; 23;  0; 0
ALCP690.COB ; 1176 ; 868 ; 298 ; 127; 29 ; 28 ; 27; 20;  0; 0
ALCP691.COB ; 972 ; 727 ; 214 ; 102; 84 ; 77 ; 82; 36;  0; 0
ALCP692.COB ; 2534 ; 1813 ; 884 ; 412; 70 ; 59 ; 70; 37;  0; 0
ALCP693.COB ; 2773 ; 2260 ; 1239 ; 576; 70 ; 59 ; 70; 37;  0; 0
ALCP694.COB ; 2645 ; 1980 ; 1043 ; 469; 33 ; 32 ; 33; 22;  0; 0
ALCP695.COB ; 2388 ; 1674 ; 767 ; 408; 43 ; 38 ; 43; 26;  0; 0
ALCP696.COB ; 2497 ; 1776 ; 852 ; 458; 43 ; 38 ; 43; 26;  0; 0
ALCP697.COB ; 2611 ; 1922 ; 986 ; 524; 62 ; 56 ; 62; 40;  0; 0
ALCP698.COB ; 302 ; 182 ; 60 ; 9; 22 ; 11 ; 22; 8;  0; 0
ALCP700.COB ; 2187 ; 1483 ; 383 ; 196; 65 ; 46 ; 63; 23;  0; 0
ALCP701.COB ; 482 ; 468 ; 162 ; 67; 58 ; 38 ; 58; 26;  0; 0
ALCP702.COB ; 4117 ; 2014 ; 696 ; 336; 29 ; 28 ; 27; 18;  0; 0
ALCP703.COB ; 1950 ; 1223 ; 444 ; 196; 66 ; 71 ; 66; 31;  0; 0
ALCP704.COB ; 2316 ; 1666 ; 627 ; 266; 35 ; 32 ; 35; 22;  0; 0
ALCP705.COB ; 2988 ; 1810 ; 583 ; 267; 29 ; 28 ; 27; 18;  0; 0
ALCP706.COB ; 3630 ; 1833 ; 797 ; 402; 28 ; 25 ; 28; 16;  0; 0
ALCP707.COB ; 1426 ; 1074 ; 395 ; 179; 43 ; 40 ; 43; 28;  0; 0
ALCP754.COB ; 1831 ; 882 ; 295 ; 86; 34 ; 32 ; 34; 21;  0; 0
ALCP755.COB ; 1752 ; 779 ; 266 ; 66; 34 ; 32 ; 34; 21;  0; 0
ALCP787.COB ; 1244 ; 862 ; 326 ; 135; 29 ; 28 ; 27; 18;  0; 0
ALCP901.COB ; 19907 ; 3653 ; 1083 ; 486; 56 ; 44 ; 54; 30;  0; 0
ALCP936.COB ; 1346 ; 991 ; 368 ; 181; 34 ; 30 ; 34; 20;  0; 0
ALCP998.COB ; 1601 ; 888 ; 272 ; 127; 27 ; 27 ; 27; 18;  0; 0
ALCS024.COB ; 4550 ; 2720 ; 1339 ; 576; 12 ; 9 ; 10; 5;  0; 0
ALCS025.COB ; 2498 ; 1626 ; 918 ; 458; 12 ; 9 ; 10; 5;  0; 0
ALCS026.COB ; 4377 ; 2529 ; 1451 ; 670; 12 ; 9 ; 10; 5;  0; 0
ALCS027.COB ; 3947 ; 2288 ; 1305 ; 596; 12 ; 9 ; 10; 5;  0; 0
ALCS028.COB ; 3214 ; 2019 ; 1152 ; 561; 12 ; 9 ; 10; 5;  0; 0
ALCS029.COB ; 3131 ; 1937 ; 1108 ; 547; 12 ; 9 ; 10; 5;  0; 0
ALCS030.COB ; 2452 ; 1508 ; 907 ; 373; 12 ; 9 ; 10; 5;  0; 0
ALCS031.COB ; 2486 ; 1589 ; 894 ; 433; 12 ; 9 ; 10; 5;  0; 0
ALCS032.COB ; 2925 ; 1664 ; 1033 ; 445; 12 ; 9 ; 10; 5;  0; 0
ALCS048.COB ; 2712 ; 1517 ; 882 ; 393; 12 ; 9 ; 10; 5;  0; 0
ALCS049.COB ; 3321 ; 1967 ; 1093 ; 494; 12 ; 9 ; 10; 5;  0; 0
ALCS065.COB ; 2422 ; 1512 ; 896 ; 408; 30 ; 27 ; 28; 17;  0; 0
ALCS066.COB ; 4426 ; 2716 ; 1246 ; 612; 30 ; 27 ; 28; 17;  0; 0
ALCS067.COB ; 2012 ; 1272 ; 743 ; 354; 12 ; 9 ; 10; 5;  0; 0
ALCS068.COB ; 2176 ; 1353 ; 823 ; 378; 12 ; 9 ; 10; 5;  0; 0
ALCS070.COB ; 2527 ; 1373 ; 885 ; 325; 6 ; 5 ; 5; 2;  0; 0
ALCS140.COB ; 2678 ; 1191 ; 684 ; 288; 5 ; 6 ; 5; 2;  0; 0
ALCS141.COB ; 6722 ; 3445 ; 1803 ; 798; 5 ; 6 ; 5; 2;  0; 0
ALCS142.COB ; 5808 ; 2954 ; 1710 ; 799; 34 ; 31 ; 32; 19;  0; 0
ALCS143.COB ; 6256 ; 2940 ; 1561 ; 753; 5 ; 6 ; 5; 2;  0; 0
ALCS144.COB ; 5430 ; 2497 ; 1350 ; 635; 5 ; 6 ; 5; 2;  0; 0
ALCS145.COB ; 2768 ; 1347 ; 778 ; 339; 25 ; 22 ; 23; 13;  0; 0
ALCS146.COB ; 5675 ; 3188 ; 1294 ; 697; 21 ; 16 ; 19; 9;  0; 0
ALCS147.COB ; 8252 ; 4910 ; 1986 ; 1135; 34 ; 31 ; 32; 19;  0; 0
ALCS150.COB ; 2294 ; 1230 ; 722 ; 311; 21 ; 15 ; 19; 9;  0; 0
ALCS151.COB ; 2603 ; 1555 ; 803 ; 363; 21 ; 15 ; 19; 9;  0; 0
ALCS152.COB ; 2191 ; 1120 ; 694 ; 268; 5 ; 6 ; 5; 2;  0; 0
ALCS241.COB ; 5366 ; 2818 ; 1449 ; 734; 19 ; 16 ; 19; 9;  0; 0
ALCS242.COB ; 5205 ; 2885 ; 1469 ; 760; 19 ; 16 ; 19; 9;  0; 0
ALCS244.COB ; 4968 ; 2699 ; 1363 ; 703; 19 ; 16 ; 19; 9;  0; 0
ALCS246.COB ; 7243 ; 4174 ; 1994 ; 1098; 19 ; 16 ; 19; 9;  0; 0
ALCS247.COB ; 6953 ; 3981 ; 1777 ; 988; 19 ; 16 ; 19; 9;  0; 0
ALCS248.COB ; 7136 ; 3844 ; 1807 ; 964; 19 ; 16 ; 19; 9;  0; 0
ALCS250.COB ; 2500 ; 1363 ; 795 ; 336; 19 ; 16 ; 19; 9;  0; 0
ALCS251.COB ; 2496 ; 1366 ; 795 ; 336; 19 ; 16 ; 19; 9;  0; 0
ALCU009.COB ; 6114 ; 5744 ; 3763 ; 1506; 18 ; 12 ; 18; 6;  0; 0
ALCU014.COB ; 781 ; 672 ; 246 ; 102; 104 ; 76 ; 104; 51;  0; 0
ALCU020.COB ; 2658 ; 1698 ; 525 ; 271; 65 ; 47 ; 65; 32;  0; 0
ALCU021.COB ; 14828 ; 14376 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
ALCU022.COB ; 2371 ; 1701 ; 654 ; 312; 77 ; 61 ; 77; 39;  0; 0
ALCU023.COB ; 1309 ; 958 ; 396 ; 164; 39 ; 23 ; 37; 14;  0; 0
ALCU024.COB ; 2811 ; 2096 ; 877 ; 510; 63 ; 40 ; 61; 26;  0; 0
ALCU026.COB ; 5431 ; 3803 ; 1484 ; 849; 80 ; 50 ; 80; 33;  0; 0
ALCU027.COB ; 1359 ; 798 ; 238 ; 110; 33 ; 31 ; 31; 19;  0; 0
ALCU028.COB ; 2100 ; 1213 ; 555 ; 294; 45 ; 31 ; 45; 20;  0; 0
ALCU029.COB ; 6177 ; 3982 ; 905 ; 551; 38 ; 32 ; 37; 21;  0; 0
ALCU030.COB ; 16361 ; 16090 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
ALCU031.COB ; 1918 ; 1353 ; 278 ; 166; 42 ; 34 ; 42; 22;  0; 0
ALCU034.COB ; 1104 ; 898 ; 382 ; 148; 42 ; 36 ; 40; 22;  0; 0
ALCU036.COB ; 1413 ; 996 ; 468 ; 148; 32 ; 19 ; 30; 11;  0; 0
ALCU039.COB ; 435 ; 407 ; 192 ; 97; 34 ; 25 ; 32; 15;  0; 0
ALCU042.COB ; 431 ; 407 ; 190 ; 97; 34 ; 25 ; 32; 15;  0; 0
ALCU045.COB ; 2888 ; 2158 ; 875 ; 437; 96 ; 80 ; 95; 52;  0; 0
ALCU047.COB ; 1783 ; 993 ; 538 ; 239; 85 ; 66 ; 83; 45;  0; 0
ALCU050.COB ; 4361 ; 3660 ; 1658 ; 1185; 30 ; 21 ; 30; 15;  0; 0
ALCU051.COB ; 1211 ; 765 ; 283 ; 165; 40 ; 34 ; 40; 22;  0; 0
ALCU052.COB ; 1812 ; 1136 ; 465 ; 158; 64 ; 34 ; 64; 22;  0; 0
ALCU053.COB ; 1396 ; 1063 ; 469 ; 210; 37 ; 24 ; 35; 15;  0; 0
ALCU061.COB ; 3309 ; 1983 ; 965 ; 461; 35 ; 23 ; 35; 13;  0; 0
ALCU062.COB ; 1912 ; 1125 ; 531 ; 260; 147 ; 114 ; 147; 77;  0; 0
ALCU063.COB ; 1916 ; 1420 ; 468 ; 298; 18 ; 21 ; 18; 12;  0; 0
ALCU064.COB ; 3210 ; 1344 ; 365 ; 197; 37 ; 32 ; 37; 18;  0; 0
ALCU065.COB ; 2635 ; 1761 ; 600 ; 382; 34 ; 48 ; 34; 23;  0; 0
ALCU066.COB ; 941 ; 534 ; 187 ; 88; 46 ; 53 ; 46; 27;  0; 0
ALCU067.COB ; 627 ; 417 ; 95 ; 44; 29 ; 33 ; 27; 21;  0; 0
ALCU068.COB ; 782 ; 411 ; 108 ; 60; 57 ; 63 ; 55; 36;  0; 0
ALCU069.COB ; 1677 ; 1021 ; 524 ; 358; 75 ; 64 ; 50; 29;  0; 0
ALCU070.COB ; 6206 ; 3961 ; 622 ; 355; 20 ; 13 ; 18; 8;  0; 0
ALCU071.COB ; 246 ; 222 ; 115 ; 30; 57 ; 52 ; 57; 24;  0; 0
ALCU080.COB ; 1215 ; 986 ; 431 ; 197; 85 ; 81 ; 85; 53;  0; 0
ALCU081.COB ; 1170 ; 890 ; 282 ; 143; 24 ; 17 ; 24; 11;  0; 0
ALCU082.COB ; 613 ; 296 ; 105 ; 49; 24 ; 17 ; 24; 11;  0; 0
ALCU100.COB ; 747 ; 559 ; 142 ; 56; 38 ; 37 ; 38; 22;  0; 0
ALCU101.COB ; 2944 ; 1221 ; 557 ; 275; 16 ; 10 ; 14; 5;  0; 0
ALCU102.COB ; 6585 ; 2581 ; 657 ; 427; 32 ; 34 ; 30; 21;  0; 0
ALCU103.COB ; 4828 ; 2090 ; 833 ; 453; 14 ; 10 ; 12; 5;  0; 0
ALCU250.COB ; 1677 ; 1220 ; 675 ; 364; 75 ; 63 ; 73; 44;  0; 0
ALCU252.COB ; 470 ; 319 ; 132 ; 69; 77 ; 71 ; 77; 45;  0; 0
ALCU254.COB ; 3928 ; 3652 ; 1883 ; 1236; 66 ; 80 ; 64; 54;  0; 0
ALCU260.COB ; 1652 ; 1266 ; 825 ; 504; 272 ; 279 ; 272; 191;  0; 0
ALCU261.COB ; 875 ; 624 ; 321 ; 168; 67 ; 78 ; 65; 51;  0; 0
ALCU262.COB ; 1330 ; 877 ; 478 ; 296; 127 ; 143 ; 127; 91;  0; 0
ALCU263.COB ; 1351 ; 902 ; 385 ; 175; 55 ; 34 ; 53; 22;  0; 0
ALCU264.COB ; 447 ; 284 ; 84 ; 59; 55 ; 74 ; 55; 41;  0; 0
ALCU265.COB ; 876 ; 586 ; 312 ; 141; 3 ; 6 ; 2; 3;  0; 0
ALCVD40.COB ; 616 ; 451 ; 189 ; 88; 13 ; 11 ; 11; 5;  0; 0
ALCVD41.COB ; 1235 ; 915 ; 349 ; 208; 15 ; 11 ; 13; 5;  0; 0
ALCVD42.COB ; 1169 ; 877 ; 337 ; 196; 15 ; 11 ; 13; 5;  0; 0
ALCVD43.COB ; 1074 ; 765 ; 277 ; 180; 13 ; 11 ; 11; 5;  0; 0
ALCVD44.COB ; 962 ; 682 ; 235 ; 138; 13 ; 11 ; 11; 5;  0; 0
ALCVD45.COB ; 800 ; 583 ; 225 ; 128; 13 ; 11 ; 11; 5;  0; 0
ALCVD46.COB ; 728 ; 534 ; 211 ; 114; 13 ; 11 ; 11; 5;  0; 0
ALCVD47.COB ; 970 ; 740 ; 305 ; 164; 15 ; 11 ; 13; 5;  0; 0
ALCVD69.COB ; 795 ; 607 ; 273 ; 121; 15 ; 11 ; 13; 5;  0; 0
ALCVD70.COB ; 963 ; 741 ; 301 ; 156; 15 ; 11 ; 13; 5;  0; 0
ALCVD71.COB ; 678 ; 493 ; 201 ; 100; 13 ; 11 ; 11; 5;  0; 0
ALCVF01.COB ; 1130 ; 900 ; 323 ; 182; 15 ; 11 ; 13; 5;  0; 0
ALCVF05.COB ; 852 ; 656 ; 285 ; 144; 15 ; 11 ; 13; 5;  0; 0
ALCVF08.COB ; 1132 ; 842 ; 333 ; 192; 15 ; 11 ; 13; 5;  0; 0
ALCVF11.COB ; 1618 ; 1131 ; 369 ; 272; 13 ; 11 ; 11; 5;  0; 0
ALCVF12.COB ; 1711 ; 1197 ; 399 ; 302; 13 ; 11 ; 11; 5;  0; 0
ALCVF13.COB ; 1565 ; 1099 ; 371 ; 274; 13 ; 11 ; 11; 5;  0; 0
ALCVF14.COB ; 1127 ; 844 ; 331 ; 190; 15 ; 11 ; 13; 5;  0; 0
ALCVF21.COB ; 836 ; 642 ; 281 ; 140; 15 ; 11 ; 13; 5;  0; 0
AMPB402.COB ; 1350 ; 1010 ; 318 ; 164; 234 ; 275 ; 234; 133;  0; 0
AMPB424.COB ; 1576 ; 1259 ; 430 ; 267; 356 ; 428 ; 356; 242;  0; 0
AMPB431.COB ; 3845 ; 2636 ; 524 ; 307; 133 ; 156 ; 133; 92;  0; 0
AMPB432.COB ; 2124 ; 1151 ; 316 ; 163; 126 ; 149 ; 124; 68;  0; 0
AMPB433.COB ; 3033 ; 1332 ; 388 ; 206; 152 ; 178 ; 150; 83;  0; 0
AMPB434.COB ; 3047 ; 1344 ; 388 ; 206; 152 ; 178 ; 150; 83;  0; 0
