filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
ALCC049.COB ; 2191 ; 1565 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC065.COB ; 2757 ; 2322 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC066.COB ; 3860 ; 2695 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC067.COB ; 2078 ; 1526 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC068.COB ; 2198 ; 1564 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC070.COB ; 2260 ; 1705 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC200.COB ; 1726 ; 1170 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP021.COB ; 4767 ; 2325 ; 763 ; 225; 61 ; 54 ; 57; 38
ALCP022.COB ; 2269 ; 798 ; 344 ; 113; 30 ; 24 ; 26; 12
ALCP023.COB ; 547 ; 425 ; 149 ; 49; 132 ; 117 ; 132; 49
ALCP040.COB ; 3860 ; 880 ; 347 ; 152; 40 ; 32 ; 34; 18
ALCP041.COB ; 879 ; 608 ; 122 ; 40; 80 ; 69 ; 78; 39
ALCP042.COB ; 4071 ; 929 ; 309 ; 154; 38 ; 32 ; 32; 18
ALCP052.COB ; 2199 ; 1168 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP070.COB ; 2933 ; 1101 ; 370 ; 172; 27 ; 31 ; 23; 19
ALCP071.COB ; 996 ; 712 ; 225 ; 73; 29 ; 32 ; 27; 20
ALCP072.COB ; 3668 ; 1107 ; 422 ; 182; 27 ; 38 ; 25; 21
ALCP076.COB ; 3196 ; 1820 ; 612 ; 392; 29 ; 37 ; 27; 23
ALCP077.COB ; 5308 ; 1902 ; 617 ; 354; 33 ; 32 ; 32; 17
ALCP078.COB ; 1016 ; 723 ; 209 ; 110; 74 ; 83 ; 68; 38
ALCP079.COB ; 1889 ; 1241 ; 387 ; 196; 29 ; 35 ; 27; 21
ALCP080.COB ; 1361 ; 553 ; 125 ; 42; 57 ; 51 ; 49; 29
ALCP081.COB ; 2955 ; 1471 ; 430 ; 219; 27 ; 33 ; 25; 18
ALCP082.COB ; 2554 ; 935 ; 255 ; 139; 26 ; 27 ; 20; 14
ALCP083.COB ; 5607 ; 3020 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP084.COB ; 3690 ; 1257 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP089.COB ; 1778 ; 670 ; 241 ; 75; 136 ; 120 ; 130; 58
ALCP090.COB ; 7835 ; 4541 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP091.COB ; 3476 ; 1419 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP094.COB ; 2022 ; 1539 ; 551 ; 145; 141 ; 175 ; 133; 93
ALCP095.COB ; 1159 ; 756 ; 213 ; 119; 183 ; 207 ; 179; 109
ALCP097.COB ; 2708 ; 1219 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP120.COB ; 1791 ; 1050 ; 491 ; 168; 44 ; 22 ; 40; 12
ALCP201.COB ; 8665 ; 5929 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP202.COB ; 1512 ; 912 ; 371 ; 108; 44 ; 40 ; 38; 24
ALCP206.COB ; 1638 ; 1095 ; 412 ; 173; 29 ; 35 ; 27; 18
ALCP208.COB ; 2097 ; 1076 ; 378 ; 147; 39 ; 33 ; 35; 21
ALCP209.COB ; 3053 ; 1646 ; 456 ; 264; 58 ; 52 ; 57; 32
ALCP215.COB ; 1075 ; 685 ; 206 ; 113; 176 ; 195 ; 174; 103
ALCP218.COB ; 1579 ; 705 ; 206 ; 82; 57 ; 48 ; 51; 29
ALCP221.COB ; 828 ; 666 ; 239 ; 117; 54 ; 34 ; 53; 20
ALCP242.COB ; 4170 ; 2717 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP243.COB ; 4163 ; 2826 ; 1064 ; 626; 26 ; 27 ; 22; 16
ALCP244.COB ; 7357 ; 4113 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP246.COB ; 1509 ; 1327 ; 735 ; 361; 67 ; 40 ; 61; 23
ALCP247.COB ; 643 ; 467 ; 120 ; 45; 45 ; 45 ; 39; 27
ALCP250.COB ; 1339 ; 889 ; 328 ; 138; 42 ; 38 ; 32; 18
ALCP252.COB ; 1496 ; 1322 ; 710 ; 353; 60 ; 37 ; 56; 24
ALCP254.COB ; 1896 ; 1684 ; 944 ; 478; 60 ; 38 ; 56; 23
ALCP256.COB ; 1589 ; 1407 ; 783 ; 393; 65 ; 38 ; 59; 23
ALCP259.COB ; 604 ; 407 ; 108 ; 33; 34 ; 29 ; 32; 17
ALCP262.COB ; 1329 ; 773 ; 308 ; 123; 49 ; 28 ; 45; 16
ALCP263.COB ; 1880 ; 1373 ; 451 ; 219; 45 ; 42 ; 39; 25
ALCP264.COB ; 458 ; 417 ; 137 ; 49; 64 ; 41 ; 62; 26
ALCP298.COB ; 837 ; 493 ; 134 ; 48; 33 ; 34 ; 29; 19
ALCP306.COB ; 5764 ; 2619 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP325.COB ; 2074 ; 756 ; 289 ; 122; 88 ; 68 ; 84; 39
ALCP326.COB ; 1796 ; 925 ; 393 ; 174; 24 ; 12 ; 20; 6
ALCP331.COB ; 1678 ; 596 ; 195 ; 63; 63 ; 49 ; 57; 31
ALCP333.COB ; 502 ; 479 ; 155 ; 63; 85 ; 60 ; 77; 32
ALCP335.COB ; 2174 ; 1497 ; 531 ; 291; 29 ; 33 ; 27; 19
ALCP336.COB ; 408 ; 369 ; 98 ; 29; 39 ; 30 ; 37; 20
ALCP337.COB ; 1218 ; 1045 ; 440 ; 256; 56 ; 45 ; 54; 30
ALCP342.COB ; 7746 ; 4049 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP345.COB ; 3213 ; 1084 ; 363 ; 163; 108 ; 103 ; 102; 50
ALCP420.COB ; 3673 ; 1291 ; 437 ; 200; 40 ; 36 ; 34; 20
ALCP421.COB ; 951 ; 554 ; 241 ; 68; 46 ; 42 ; 44; 26
ALCP422.COB ; 1528 ; 953 ; 410 ; 150; 46 ; 42 ; 44; 26
ALCP423.COB ; 2538 ; 681 ; 279 ; 76; 46 ; 42 ; 44; 26
ALCP424.COB ; 846 ; 588 ; 144 ; 62; 26 ; 26 ; 20; 14
ALCP425.COB ; 1136 ; 436 ; 113 ; 53; 39 ; 29 ; 37; 18
ALCP470.COB ; 2494 ; 1615 ; 513 ; 287; 29 ; 34 ; 27; 20
ALCP500.COB ; 5124 ; 3373 ; 1535 ; 612; 44 ; 31 ; 38; 19
ALCP502.COB ; 6183 ; 3301 ; 1342 ; 521; 114 ; 96 ; 106; 56
ALCP504.COB ; 6370 ; 3090 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP505.COB ; 601 ; 413 ; 128 ; 34; 46 ; 31 ; 42; 20
ALCP519.COB ; 6619 ; 3743 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP520.COB ; 5343 ; 1785 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP540.COB ; 8943 ; 4983 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP542.COB ; 6527 ; 1410 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP543.COB ; 1232 ; 435 ; 77 ; 21; 35 ; 21 ; 31; 13
ALCP544.COB ; 1349 ; 812 ; 224 ; 67; 29 ; 15 ; 23; 7
ALCP545.COB ; 564 ; 407 ; 123 ; 36; 26 ; 12 ; 22; 6
ALCP550.COB ; 2291 ; 780 ; 308 ; 139; 83 ; 78 ; 79; 43
ALCP551.COB ; 874 ; 616 ; 219 ; 75; 33 ; 29 ; 31; 17
ALCP552.COB ; 743 ; 526 ; 189 ; 64; 26 ; 26 ; 20; 15
ALCP558.COB ; 1435 ; 1035 ; 274 ; 121; 243 ; 233 ; 231; 113
ALCP559.COB ; 1262 ; 846 ; 219 ; 108; 26 ; 26 ; 20; 14
ALCP570.COB ; 2328 ; 1068 ; 268 ; 131; 34 ; 31 ; 32; 17
ALCP571.COB ; 1796 ; 793 ; 227 ; 110; 54 ; 43 ; 46; 22
ALCP575.COB ; 3913 ; 902 ; 283 ; 71; 84 ; 51 ; 78; 34
ALCP577.COB ; 6937 ; 3351 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP579.COB ; 2180 ; 408 ; 113 ; 36; 35 ; 25 ; 29; 12
ALCP610.COB ; 423 ; 314 ; 72 ; 27; 63 ; 56 ; 57; 27
ALCP631.COB ; 2473 ; 1245 ; 433 ; 200; 26 ; 28 ; 20; 14
ALCP637.COB ; 1848 ; 791 ; 235 ; 97; 26 ; 28 ; 20; 14
ALCP639.COB ; 3272 ; 1019 ; 298 ; 163; 107 ; 107 ; 101; 46
ALCP644.COB ; 1279 ; 475 ; 144 ; 33; 81 ; 62 ; 79; 32
ALCP666.COB ; 6147 ; 3804 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP667.COB ; 1098 ; 693 ; 198 ; 86; 98 ; 92 ; 90; 51
ALCP676.COB ; 1958 ; 887 ; 327 ; 126; 217 ; 222 ; 205; 110
ALCP679.COB ; 1586 ; 870 ; 257 ; 123; 32 ; 29 ; 26; 17
ALCP680.COB ; 575 ; 433 ; 115 ; 50; 80 ; 83 ; 76; 42
ALCP686.COB ; 3501 ; 1400 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP687.COB ; 2884 ; 882 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP688.COB ; 3488 ; 1207 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP689.COB ; 992 ; 746 ; 218 ; 111; 40 ; 40 ; 34; 23
ALCP690.COB ; 1176 ; 868 ; 296 ; 127; 27 ; 30 ; 25; 17
ALCP691.COB ; 972 ; 727 ; 214 ; 102; 86 ; 79 ; 82; 36
ALCP692.COB ; 2534 ; 1813 ; 884 ; 412; 103 ; 84 ; 91; 45
ALCP693.COB ; 2773 ; 2260 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP694.COB ; 2645 ; 1980 ; 1043 ; 469; 59 ; 65 ; 55; 38
ALCP695.COB ; 2388 ; 1674 ; 767 ; 408; 47 ; 42 ; 41; 26
