filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCC027.COB ; 3252 ; 2628 ; 1419 ; 721; False;26 ; 18 ; 16; 5;  0; 5
ALCC028.COB ; 2175 ; 1603 ; 823 ; 367; True;83 ; 36 ; 51; 30;  2; 2
ALCC029.COB ; 2062 ; 1507 ; 777 ; 351; True;79 ; 34 ; 47; 28;  2; 2
ALCC030.COB ; 2910 ; 2324 ; 1276 ; 634; False;26 ; 18 ; 16; 5;  0; 5
ALCC031.COB ; 1962 ; 1446 ; 745 ; 339; False;30 ; 14 ; 16; 5;  0; 3
ALCC032.COB ; 2532 ; 1962 ; 1070 ; 526; False;26 ; 19 ; 16; 5;  0; 6
ALCC048.COB ; 2097 ; 1518 ; 774 ; 348; True;77 ; 33 ; 45; 27;  2; 2
ALCC049.COB ; 2191 ; 1565 ; 792 ; 348; True;77 ; 33 ; 45; 27;  2; 2
ALCC065.COB ; 2757 ; 2322 ; 1305 ; 674; False;78 ; 34 ; 54; 28;  0; 0
ALCC066.COB ; 3860 ; 2695 ; 1580 ; 737; False;30 ; 21 ; 20; 7;  0; 6
ALCC067.COB ; 2078 ; 1526 ; 792 ; 353; False;30 ; 13 ; 14; 5;  0; 2
ALCC068.COB ; 2198 ; 1564 ; 802 ; 337; False;28 ; 15 ; 16; 5;  0; 4
ALCC070.COB ; 2260 ; 1705 ; 932 ; 443; False;38 ; 22 ; 28; 7;  0; 7
ALCC200.COB ; 1726 ; 1170 ; 692 ; 294; False;108 ; 50 ; 84; 38;  0; 2
ALCP021.COB ; 4767 ; 2325 ; 762 ; 222; False;266 ; 123 ; 246; 109;  4; 6
ALCP022.COB ; 2269 ; 798 ; 343 ; 112; False;36 ; 22 ; 26; 13;  0; 5
ALCP023.COB ; 547 ; 425 ; 148 ; 48; True;127 ; 46 ; 127; 46;  0; 0
ALCP040.COB ; 3860 ; 880 ; 346 ; 142; False;40 ; 24 ; 30; 14;  0; 6
ALCP041.COB ; 879 ; 608 ; 121 ; 37; False;62 ; 29 ; 54; 20;  0; 2
ALCP042.COB ; 4071 ; 929 ; 308 ; 148; False;110 ; 52 ; 88; 40;  2; 4
ALCP052.COB ; 2199 ; 1168 ; 416 ; 178; False;67 ; 32 ; 55; 28;  0; 2
ALCP070.COB ; 2933 ; 1101 ; 369 ; 160; False;87 ; 46 ; 77; 42;  0; 2
ALCP071.COB ; 996 ; 712 ; 224 ; 69; True;126 ; 46 ; 124; 46;  2; 0
ALCP072.COB ; 3668 ; 1107 ; 423 ; 174; False;146 ; 78 ; 130; 65;  4; 2
ALCP076.COB ; 3196 ; 1820 ; 611 ; 369; False;170 ; 93 ; 148; 85;  0; 2
ALCP077.COB ; 5308 ; 1902 ; 616 ; 342; False;101 ; 61 ; 91; 53;  0; 2
ALCP078.COB ; 1016 ; 723 ; 208 ; 106; False;98 ; 47 ; 88; 39;  0; 2
ALCP079.COB ; 1889 ; 1241 ; 386 ; 189; False;139 ; 68 ; 123; 52;  2; 2
ALCP080.COB ; 1361 ; 553 ; 124 ; 39; False;65 ; 25 ; 57; 20;  0; 2
ALCP081.COB ; 2955 ; 1471 ; 431 ; 208; False;151 ; 79 ; 135; 60;  4; 2
ALCP082.COB ; 2554 ; 935 ; 254 ; 134; False;124 ; 57 ; 103; 42;  2; 2
ALCP083.COB ; 5607 ; 3020 ; 1383 ; 838; False;110 ; 50 ; 80; 42;  2; 4
ALCP084.COB ; 3690 ; 1257 ; 405 ; 195; False;108 ; 64 ; 90; 42;  0; 6
ALCP089.COB ; 1778 ; 670 ; 240 ; 74; False;107 ; 45 ; 91; 38;  0; 2
ALCP090.COB ; 7835 ; 4541 ; 1693 ; 858; False;65 ; 32 ; 53; 28;  0; 2
ALCP091.COB ; 3476 ; 1419 ; 463 ; 207; True;161 ; 70 ; 157; 70;  4; 0
ALCP094.COB ; 2022 ; 1539 ; 550 ; 134; True;295 ; 69 ; 295; 69;  0; 0
ALCP095.COB ; 1159 ; 756 ; 212 ; 108; True;87 ; 43 ; 87; 43;  0; 0
ALCP097.COB ; 2708 ; 1219 ; 406 ; 183; False;48 ; 27 ; 38; 17;  2; 2
ALCP120.COB ; 1791 ; 1050 ; 490 ; 164; False;64 ; 24 ; 54; 16;  0; 4
ALCP201.COB ; 8665 ; 5929 ; 3183 ; 1483; False;106 ; 62 ; 98; 48;  0; 2
ALCP202.COB ; 1512 ; 912 ; 370 ; 106; False;134 ; 55 ; 124; 46;  0; 2
ALCP206.COB ; 1638 ; 1095 ; 411 ; 166; False;96 ; 60 ; 88; 46;  0; 2
ALCP208.COB ; 2097 ; 1076 ; 377 ; 143; False;165 ; 68 ; 157; 58;  0; 2
ALCP209.COB ; 3053 ; 1646 ; 457 ; 261; False;109 ; 55 ; 95; 38;  4; 2
ALCP215.COB ; 1075 ; 685 ; 205 ; 105; True;97 ; 45 ; 97; 45;  0; 0
ALCP218.COB ; 1579 ; 705 ; 205 ; 77; False;119 ; 35 ; 111; 29;  0; 2
ALCP221.COB ; 828 ; 666 ; 238 ; 112; False;114 ; 60 ; 95; 43;  2; 4
ALCP242.COB ; 4170 ; 2717 ; 1214 ; 517; False;103 ; 43 ; 93; 31;  0; 1
ALCP243.COB ; 4163 ; 2826 ; 1063 ; 665; False;85 ; 50 ; 69; 36;  2; 1
ALCP244.COB ; 7357 ; 4113 ; 1509 ; 702; False;166 ; 108 ; 146; 66;  2; 1
ALCP246.COB ; 1509 ; 1327 ; 734 ; 361; False;458 ; 224 ; 438; 200;  4; 2
ALCP247.COB ; 643 ; 467 ; 119 ; 43; True;90 ; 37 ; 84; 29;  2; 2
ALCP250.COB ; 1339 ; 889 ; 327 ; 133; False;147 ; 84 ; 133; 62;  6; 4
ALCP252.COB ; 1496 ; 1322 ; 709 ; 353; False;429 ; 212 ; 409; 186;  2; 2
ALCP254.COB ; 1896 ; 1684 ; 943 ; 478; False;144 ; 61 ; 134; 51;  2; 0
ALCP256.COB ; 1589 ; 1407 ; 782 ; 393; False;240 ; 117 ; 222; 97;  4; 2
ALCP259.COB ; 604 ; 407 ; 107 ; 31; False;75 ; 25 ; 71; 17;  2; 0
ALCP262.COB ; 1329 ; 773 ; 307 ; 128; False;92 ; 48 ; 82; 39;  0; 2
ALCP263.COB ; 1880 ; 1373 ; 450 ; 213; False;94 ; 59 ; 82; 50;  0; 1
ALCP264.COB ; 458 ; 417 ; 136 ; 48; False;88 ; 34 ; 78; 24;  2; 0
ALCP298.COB ; 837 ; 493 ; 133 ; 45; False;100 ; 42 ; 92; 38;  4; 0
ALCP306.COB ; 5764 ; 2619 ; 1130 ; 568; False;63 ; 28 ; 47; 15;  0; 3
ALCP325.COB ; 2074 ; 756 ; 288 ; 119; False;122 ; 64 ; 106; 54;  0; 4
ALCP326.COB ; 1796 ; 925 ; 392 ; 169; False;76 ; 38 ; 66; 25;  4; 0
ALCP331.COB ; 1678 ; 596 ; 194 ; 62; False;92 ; 45 ; 70; 29;  0; 3
ALCP333.COB ; 502 ; 479 ; 154 ; 64; False;123 ; 43 ; 105; 39;  2; 2
ALCP335.COB ; 2174 ; 1497 ; 530 ; 285; False;69 ; 33 ; 57; 29;  0; 2
ALCP336.COB ; 408 ; 369 ; 97 ; 29; True;79 ; 29 ; 79; 29;  0; 0
ALCP337.COB ; 1218 ; 1045 ; 439 ; 256; False;67 ; 34 ; 55; 30;  0; 2
