filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
ALCB018.COB ; 1523 ; 987 ; 393 ; 203; 38 ; 34 ; 36; 23
ALCB025.COB ; 1205 ; 914 ; 332 ; 178; 41 ; 37 ; 39; 26
ALCB044.COB ; 7678 ; 3099 ; 1451 ; 1144; 60 ; 61 ; 58; 32
ALCB073.COB ; 1291 ; 1070 ; 358 ; 202; 91 ; 88 ; 91; 58
ALCB087.COB ; 12592 ; 3119 ; 1086 ; 962; 24 ; 26 ; 24; 14
ALCB096.COB ; 2446 ; 1103 ; 404 ; 197; 39 ; 34 ; 37; 23
ALCB207.COB ; 1953 ; 1431 ; 378 ; 169; 29 ; 28 ; 27; 18
ALCB212.COB ; 1286 ; 959 ; 318 ; 158; 28 ; 26 ; 28; 20
ALCB213.COB ; 1409 ; 1013 ; 318 ; 158; 28 ; 26 ; 28; 20
ALCB216.COB ; 1126 ; 917 ; 337 ; 170; 27 ; 26 ; 27; 20
ALCB229.COB ; 1267 ; 1059 ; 343 ; 161; 46 ; 38 ; 44; 26
ALCB231.COB ; 1693 ; 1294 ; 418 ; 245; 39 ; 30 ; 37; 19
ALCB232.COB ; 1478 ; 957 ; 313 ; 135; 29 ; 28 ; 27; 18
ALCB233.COB ; 1414 ; 965 ; 363 ; 180; 39 ; 34 ; 37; 23
ALCB234.COB ; 1474 ; 971 ; 363 ; 180; 39 ; 34 ; 37; 23
ALCB327.COB ; 1304 ; 1122 ; 365 ; 212; 72 ; 70 ; 70; 43
ALCB328.COB ; 1622 ; 1216 ; 454 ; 215; 52 ; 50 ; 50; 33
ALCB332.COB ; 1748 ; 969 ; 303 ; 130; 57 ; 44 ; 55; 30
ALCB343.COB ; 9294 ; 2541 ; 1089 ; 750; 27 ; 28 ; 25; 18
ALCB369.COB ; 2297 ; 1830 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB486.COB ; 2923 ; 1776 ; 537 ; 309; 23 ; 22 ; 21; 14
ALCB487.COB ; 3069 ; 1590 ; 505 ; 293; 23 ; 22 ; 21; 14
ALCB506.COB ; 3804 ; 1273 ; 411 ; 205; 28 ; 25 ; 28; 16
ALCB517.COB ; 13160 ; 7830 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB527.COB ; 6463 ; 3880 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB528.COB ; 5969 ; 2576 ; 1226 ; 666; 62 ; 45 ; 60; 29
ALCB530.COB ; 6590 ; 2369 ; 953 ; 687; 64 ; 47 ; 62; 31
ALCB541.COB ; 6572 ; 2383 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB576.COB ; 3646 ; 1381 ; 405 ; 249; 57 ; 67 ; 57; 43
ALCB581.COB ; 5979 ; 3959 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB582.COB ; 5375 ; 3096 ; 932 ; 622; 23 ; 22 ; 21; 14
ALCB583.COB ; 5648 ; 3084 ; 942 ; 696; 29 ; 34 ; 27; 24
ALCB584.COB ; 2254 ; 1560 ; 331 ; 163; 25 ; 23 ; 25; 18
ALCB585.COB ; 2873 ; 1981 ; 442 ; 229; 34 ; 31 ; 32; 21
ALCB587.COB ; 1228 ; 952 ; 317 ; 155; 25 ; 23 ; 25; 18
ALCB611.COB ; 1919 ; 1340 ; 480 ; 295; 11 ; 11 ; 11; 6
ALCB617.COB ; 2069 ; 1141 ; 351 ; 217; 44 ; 36 ; 42; 24
ALCB618.COB ; 1700 ; 1133 ; 349 ; 217; 31 ; 28 ; 29; 19
ALCB619.COB ; 1700 ; 1133 ; 349 ; 217; 31 ; 28 ; 29; 19
