filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
NOAP450.COB ; 3255 ; 1583 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
NOAP452.COB ; 606 ; 366 ; 100 ; 22; False;71 ; 33 ; 67; 16;  2; 0
NOAP503.COB ; 1243 ; 514 ; 214 ; 50; True;79 ; 48 ; 79; 33;  0; 0
NOAP504.COB ; 789 ; 499 ; 202 ; 81; False;91 ; 45 ; 75; 12;  0; 2
NOAP505.COB ; 927 ; 582 ; 142 ; 63; True;71 ; 39 ; 71; 28;  0; 0
NOAP561.COB ; 4627 ; 3183 ; 1491 ; 480; False;80 ; 40 ; 66; 13;  0; 2
NOAP563.COB ; 3021 ; 1561 ; 826 ; 423; False;85 ; 59 ; 77; 34;  0; 6
NOAP585.COB ; 1191 ; 899 ; 367 ; 149; False;152 ; 101 ; 144; 49;  0; 2
NOAP586.COB ; 994 ; 688 ; 250 ; 100; False;113 ; 105 ; 103; 36;  2; 2
NOAP587.COB ; 1121 ; 811 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
NOAP701.COB ; 2625 ; 1703 ; 699 ; 320; False;52 ; 55 ; 36; 18;  0; 2
NOAP702.COB ; 1598 ; 1170 ; 391 ; 107; False;153 ; 102 ; 139; 46;  4; 0
NOAP703.COB ; 1423 ; 987 ; 349 ; 118; False;48 ; 57 ; 30; 16;  0; 2
NOAP704.COB ; 1600 ; 1138 ; 385 ; 169; False;52 ; 55 ; 36; 18;  0; 2
NOAP705.COB ; 1778 ; 1204 ; 494 ; 186; False;84 ; 99 ; 66; 24;  0; 2
NOAP706.COB ; 1537 ; 1141 ; 393 ; 157; False;54 ; 57 ; 36; 18;  0; 2
NOAP707.COB ; 2357 ; 1725 ; 674 ; 298; False;56 ; 59 ; 36; 18;  0; 2
NOAP708.COB ; 2083 ; 1384 ; 500 ; 233; False;77 ; 91 ; 59; 23;  0; 2
NOAP709.COB ; 1226 ; 771 ; 285 ; 102; False;67 ; 76 ; 53; 35;  4; 2
