filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
DABB825.COB ; 1863 ; 1280 ; 349 ; 207; 40 ; 42 ; 40; 23;  0; 0
DABB875.COB ; 2249 ; 1582 ; 598 ; 267; 65 ; 61 ; 63; 43;  0; 0
DABB887.COB ; 2922 ; 2010 ; 721 ; 369; 72 ; 71 ; 70; 51;  0; 0
DABB937.COB ; 6294 ; 2779 ; 665 ; 320; 34 ; 30 ; 34; 20;  0; 0
DABP012.COB ; 1951 ; 1222 ; 376 ; 233; 24 ; 22 ; 22; 14;  0; 0
DABP035.COB ; 831 ; 441 ; 111 ; 41; 62 ; 62 ; 60; 32;  0; 0
DABP096.COB ; 2276 ; 1243 ; 449 ; 199; 23 ; 22 ; 21; 14;  0; 0
DABP100.COB ; 995 ; 730 ; 230 ; 101; 27 ; 27 ; 27; 19;  0; 0
DABP102.COB ; 1953 ; 1298 ; 434 ; 209; 23 ; 22 ; 23; 14;  0; 0
DABP106.COB ; 4233 ; 1939 ; 661 ; 338; 32 ; 29 ; 30; 19;  0; 0
DABP108.COB ; 1050 ; 778 ; 235 ; 125; 29 ; 29 ; 27; 21;  0; 0
DABP110.COB ; 2213 ; 1572 ; 563 ; 270; 53 ; 47 ; 53; 31;  0; 0
DABP111.COB ; 726 ; 456 ; 106 ; 43; 30 ; 28 ; 30; 19;  0; 0
DABP112.COB ; 982 ; 604 ; 171 ; 62; 28 ; 28 ; 28; 19;  0; 0
DABP113.COB ; 2172 ; 1535 ; 554 ; 268; 56 ; 56 ; 56; 38;  0; 0
DABP114.COB ; 2177 ; 1549 ; 563 ; 280; 63 ; 64 ; 63; 44;  0; 0
DABP115.COB ; 2186 ; 1556 ; 562 ; 278; 47 ; 43 ; 47; 29;  0; 0
DABP116.COB ; 3266 ; 1523 ; 502 ; 262; 81 ; 65 ; 81; 45;  0; 0
DABP117.COB ; 5303 ; 2880 ; 1091 ; 649; 23 ; 22 ; 21; 14;  0; 0
DABP120.COB ; 271 ; 265 ; 56 ; 22; 52 ; 42 ; 52; 22;  0; 0
DABP141.COB ; 1238 ; 840 ; 296 ; 112; 26 ; 26 ; 24; 17;  0; 0
DABP142.COB ; 1487 ; 850 ; 289 ; 107; 47 ; 36 ; 45; 22;  0; 0
DABP214.COB ; 2963 ; 1658 ; 591 ; 237; 43 ; 37 ; 41; 26;  0; 0
DABP216.COB ; 4629 ; 2288 ; 763 ; 392; 23 ; 22 ; 21; 14;  0; 0
DABP217.COB ; 1174 ; 720 ; 255 ; 103; 172 ; 175 ; 172; 98;  0; 0
DABP218.COB ; 1162 ; 638 ; 173 ; 85; 85 ; 95 ; 85; 57;  0; 0
DABP219.COB ; 3153 ; 1478 ; 502 ; 221; 92 ; 104 ; 92; 58;  0; 0
DABP225.COB ; 2181 ; 1284 ; 475 ; 210; 35 ; 32 ; 33; 22;  0; 0
DABP410.COB ; 2489 ; 1938 ; 833 ; 422; 26 ; 24 ; 26; 14;  0; 0
DABP411.COB ; 2505 ; 1945 ; 833 ; 422; 26 ; 24 ; 26; 14;  0; 0
DABP412.COB ; 2461 ; 1893 ; 833 ; 422; 26 ; 24 ; 26; 14;  0; 0
DABP413.COB ; 2196 ; 1511 ; 640 ; 302; 90 ; 61 ; 88; 42;  0; 0
DABP414.COB ; 1664 ; 1126 ; 429 ; 188; 58 ; 35 ; 56; 28;  0; 0
DABP415.COB ; 1734 ; 1197 ; 449 ; 197; 57 ; 34 ; 55; 27;  0; 0
DABP416.COB ; 2132 ; 1699 ; 706 ; 380; 122 ; 132 ; 120; 96;  0; 0
