filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
SFRU001.COB ; 442 ; 356 ; 146 ; 73; 44 ; 35 ; 42; 23
SFRU003.COB ; 965 ; 659 ; 245 ; 115; 128 ; 139 ; 126; 80
SFRU004.COB ; 507 ; 382 ; 105 ; 51; 24 ; 16 ; 24; 10
SOPB300.COB ; 1978 ; 1706 ; 676 ; 320; 68 ; 56 ; 66; 40
SOPB305.COB ; 1544 ; 1147 ; 453 ; 239; 118 ; 126 ; 116; 79
SOPP205.COB ; 713 ; 477 ; 149 ; 39; 28 ; 28 ; 28; 19
SOPP210.COB ; 790 ; 524 ; 186 ; 70; 23 ; 22 ; 21; 14
SOPP301.COB ; 527 ; 431 ; 145 ; 54; 54 ; 33 ; 54; 24
SOPP302.COB ; 1571 ; 1062 ; 601 ; 273; 132 ; 149 ; 130; 99
SOPP303.COB ; 1613 ; 1091 ; 611 ; 277; 137 ; 153 ; 135; 102
SOPP304.COB ; 1347 ; 867 ; 441 ; 168; 116 ; 126 ; 114; 82
SOPP306.COB ; 1146 ; 890 ; 430 ; 192; 37 ; 32 ; 35; 24
SOPP307.COB ; 1439 ; 1119 ; 607 ; 265; 33 ; 32 ; 31; 22
SOPP310.COB ; 671 ; 488 ; 156 ; 59; 41 ; 37 ; 41; 22
SOPP311.COB ; 1188 ; 683 ; 273 ; 108; 39 ; 44 ; 39; 32
SOPP400.COB ; 1118 ; 648 ; 222 ; 96; 60 ; 71 ; 58; 42
SOPP401.COB ; 822 ; 714 ; 348 ; 147; 30 ; 23 ; 30; 12
SOPP402.COB ; 1406 ; 899 ; 401 ; 142; 85 ; 91 ; 85; 54
SOPP410.COB ; 1507 ; 944 ; 408 ; 139; 45 ; 37 ; 45; 26
SOPP415.COB ; 1559 ; 995 ; 423 ; 147; 85 ; 92 ; 85; 55
SOPP420.COB ; 1287 ; 809 ; 258 ; 110; 33 ; 32 ; 33; 22
SOPP500.COB ; 1440 ; 1056 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
SOPP700.COB ; 881 ; 674 ; 211 ; 91; 55 ; 54 ; 53; 36
SOPP705.COB ; 878 ; 664 ; 211 ; 86; 55 ; 54 ; 53; 36
SOPP710.COB ; 887 ; 674 ; 211 ; 91; 55 ; 54 ; 53; 36
SOPP715.COB ; 886 ; 676 ; 211 ; 91; 55 ; 54 ; 53; 36
SOPP720.COB ; 881 ; 674 ; 211 ; 91; 55 ; 54 ; 53; 36
SOPP905.COB ; 1412 ; 652 ; 219 ; 88; 118 ; 106 ; 118; 63
SOPP909.COB ; 1974 ; 1060 ; 392 ; 187; 23 ; 26 ; 21; 18
SOPP910.COB ; 1652 ; 1210 ; 518 ; 224; 52 ; 42 ; 52; 30
SOPP915.COB ; 1652 ; 1216 ; 520 ; 234; 52 ; 42 ; 52; 30
