filename; file size V1; file size V2; file size V1 no comment; file size V2 no comment; diff line count;LTS size V1; LTS size V2; CFG size V1; CFG size V2;;;;
ALCP077.COB ;5308;1902;4916;1349;7212;617;354;561;270;;;;
ALCP078.COB ;1016;723;850;457;1741;209;110;207;95;;;;
ALCP079.COB ;1889;1241;1610;819;3132;387;196;365;156;;;;
ALCP080.COB ;1361;553;1201;357;1916;125;42;121;34;;;;
ALCP081.COB ;2955;1471;2652;1053;4428;432;219;399;159;;;;
ALCP082.COB ;2554;935;2333;627;3491;255;139;247;117;;;;
ALCP083.COB ;5607;3020;5088;2218;8629;1384;855;1229;613;;;;
ALCP084.COB ;3690;1257;3389;825;4949;406;204;383;162;;;;
ALCP089.COB ;1778;670;1570;368;2450;241;75;235;65;;;;
ALCP090.COB ;7835;4541;6451;2848;12378;1694;906;1538;641;;;;
ALCP091.COB ;3476;1419;3060;887;4897;464;219;437;166;;;;
ALCP094.COB ;2022;1539;1742;985;3563;551;145;537;113;;;;
ALCP095.COB ;1159;756;957;462;1917;213;119;212;100;;;;
ALCP097.COB ;2708;1219;2410;845;3929;407;187;390;151;;;;
ALCP120.COB ;1791;1050;1591;705;2843;491;167;467;127;;;;
ALCP201.COB ;8665;5929;7513;4337;14596;3184;1507;2903;1078;;;;
ALCP202.COB ;1512;912;1269;553;2426;371;108;363;89;;;;
ALCP206.COB ;1638;1095;1337;677;2735;412;173;394;126;;;;
ALCP208.COB ;2097;1076;1846;747;3175;378;147;375;125;;;;
ALCP209.COB ;3053;1646;2836;1338;4701;458;264;379;165;;;;
ALCP215.COB ;1075;685;872;392;1762;206;113;205;97;;;;
ALCP218.COB ;1579;705;1382;416;2286;206;82;202;69;;;;
ALCP221.COB ;828;666;639;407;1496;239;117;226;94;;;;
ALCP242.COB ;4170;2717;3616;1831;6889;1215;553;1190;437;;;;
ALCP243.COB ;4163;2826;3637;2183;6991;1064;626;957;472;;;;
ALCP244.COB ;7357;4113;6669;3221;11472;1510;717;1379;521;;;;
ALCP246.COB ;1509;1327;1254;916;2838;735;361;623;258;;;;
ALCP247.COB ;643;467;519;296;1112;120;45;113;36;;;;
ALCP250.COB ;1339;889;1073;547;2230;328;138;320;116;;;;
ALCP252.COB ;1496;1322;1250;928;2820;710;353;595;254;;;;
ALCP254.COB ;1896;1684;1608;1218;3582;944;478;778;338;;;;
ALCP256.COB ;1589;1407;1327;986;2998;783;393;657;280;;;;
ALCP259.COB ;604;407;480;237;1013;108;33;106;27;;;;
ALCP262.COB ;1329;773;1125;459;2104;308;123;285;96;;;;
ALCP263.COB ;1880;1373;1536;939;3255;451;219;428;176;;;;
ALCP264.COB ;458;417;343;220;877;137;49;135;40;;;;
ALCP298.COB ;837;493;694;308;1332;134;48;133;39;;;;
ALCP306.COB ;5764;2619;5152;1789;8385;1131;596;1027;398;;;;
ALCP325.COB ;2074;756;1872;465;2832;289;122;265;95;;;;
ALCP326.COB ;1796;925;1581;600;2723;393;174;346;123;;;;
ALCP331.COB ;1678;596;1545;366;2276;195;63;184;41;;;;
ALCP333.COB ;502;479;356;264;983;155;64;147;53;;;;
ALCP335.COB ;2174;1497;1778;969;3673;531;297;492;234;;;;
ALCP336.COB ;408;369;297;208;779;98;29;92;21;;;;
ALCP337.COB ;1218;1045;910;667;2265;440;259;386;194;;;;
ALCP342.COB ;7746;4049;7025;3082;11797;1817;892;1627;632;;;;
ALCP345.COB ;3213;1084;2936;680;4299;363;163;347;126;;;;
ALCP420.COB ;3673;1291;3318;852;4966;437;203;408;152;;;;
ALCP421.COB ;951;554;786;372;1507;242;68;225;51;;;;
ALCP422.COB ;1528;953;1264;618;2483;411;150;389;110;;;;
ALCP423.COB ;2538;681;2346;446;3221;280;76;273;57;;;;
ALCP424.COB ;846;588;683;345;1436;144;62;143;55;;;;
ALCP425.COB ;1136;436;1020;265;1574;113;53;106;41;;;;
ALCP470.COB ;2494;1615;2165;1186;4111;513;287;472;222;;;;
ALCP500.COB ;5124;3373;4330;2289;8499;1535;608;1487;478;;;;
ALCP502.COB ;6183;3301;5436;2292;9486;1342;521;1308;400;;;;
ALCP504.COB ;6370;3090;5719;2245;9462;1102;484;1039;367;;;;
ALCP505.COB ;601;413;482;231;1016;128;34;126;30;;;;
ALCP519.COB ;6619;3743;5626;2457;10364;1678;911;1604;695;;;;
ALCP520.COB ;5343;1785;4800;1096;7130;758;379;717;304;;;;
ALCP540.COB ;8943;4983;7868;3493;13928;2306;1221;2015;805;;;;
ALCP542.COB ;6527;1410;6179;996;7939;621;312;604;253;;;;
ALCP543.COB ;1232;435;1123;289;1669;77;21;74;19;;;;
ALCP544.COB ;1349;812;1206;622;2163;226;67;203;43;;;;
ALCP545.COB ;564;407;446;238;973;123;36;116;30;;;;
ALCP550.COB ;2291;780;2084;513;3073;308;139;288;110;;;;
ALCP551.COB ;874;616;714;403;1492;219;75;198;54;;;;
ALCP552.COB ;743;526;608;344;1271;189;64;176;50;;;;
ALCP558.COB ;1435;1035;1180;659;2472;274;121;267;98;;;;
ALCP559.COB ;1262;846;1032;545;2110;219;108;206;85;;;;
ALCP570.COB ;2328;1068;2071;711;3398;268;130;256;105;;;;
ALCP571.COB ;1796;793;1574;469;2591;227;110;219;95;;;;
ALCP575.COB ;3913;902;3629;495;4817;283;71;282;62;;;;
ALCP577.COB ;6937;3351;6080;2300;10290;1372;778;1238;572;;;;
ALCP579.COB ;2180;408;2048;236;2590;113;36;111;31;;;;
ALCP610.COB ;423;314;294;149;739;72;27;69;23;;;;
ALCP631.COB ;2473;1245;2182;865;3720;433;200;375;142;;;;
ALCP637.COB ;1848;791;1618;503;2641;235;97;220;74;;;;
ALCP639.COB ;3272;1019;3019;707;4293;298;156;260;107;;;;
ALCP644.COB ;1279;475;1079;298;1756;144;33;138;28;;;;
ALCP666.COB ;6147;3804;5451;2932;9953;1563;964;1121;512;;;;
ALCP667.COB ;1098;693;870;431;1793;198;86;194;75;;;;
ALCP676.COB ;1958;887;1759;616;2847;327;126;312;109;;;;
ALCP679.COB ;1586;870;1334;510;2458;257;123;248;105;;;;
ALCP680.COB ;575;433;456;265;1010;115;50;114;44;;;;
ALCP686.COB ;3501;1400;3147;925;4903;607;367;562;290;;;;
ALCP687.COB ;2884;882;2608;548;3768;305;144;286;115;;;;
ALCP688.COB ;3488;1207;3204;788;4697;419;221;392;169;;;;
ALCP689.COB ;992;746;788;467;1740;218;111;200;89;;;;
ALCP690.COB ;1176;868;956;565;2046;298;127;267;90;;;;
ALCP691.COB ;972;727;767;438;1701;214;102;194;83;;;;
ALCP692.COB ;2534;1813;2167;1239;4349;884;412;838;320;;;;
ALCP693.COB ;2773;2260;2317;1539;5035;1239;576;1163;439;;;;
ALCP694.COB ;2645;1980;2257;1358;4627;1043;468;999;365;;;;
ALCP695.COB ;2388;1674;2021;1111;4064;767;408;721;318;;;;
ALCP696.COB ;2497;1776;2122;1187;4275;852;458;805;358;;;;
ALCP697.COB ;2611;1922;2228;1296;4535;986;524;929;405;;;;
ALCP698.COB ;302;182;197;80;486;60;9;60;9;;;;
ALCP700.COB ;2187;1483;1888;1061;3672;383;196;376;153;;;;
ALCP701.COB ;482;468;345;269;952;162;68;162;61;;;;
ALCP702.COB ;4117;2014;3481;1281;6133;696;336;656;248;;;;
ALCP703.COB ;1950;1223;1590;727;3175;444;195;419;147;;;;
ALCP704.COB ;2316;1666;1804;939;3984;627;266;611;211;;;;
ALCP705.COB ;2988;1810;2420;1066;4800;583;267;566;216;;;;
ALCP706.COB ;3630;1833;3319;1312;5465;797;389;745;299;;;;
ALCP707.COB ;1426;1074;1195;676;2502;395;179;394;151;;;;
ALCP754.COB ;1831;882;1595;581;2715;295;86;293;76;;;;
ALCP755.COB ;1752;779;1527;486;2533;266;66;265;55;;;;
ALCP787.COB ;1244;862;983;528;2108;326;135;308;103;;;;
ALCP901.COB ;19907;3653;19106;2568;23562;1083;486;1069;407;;;;
ALCP936.COB ;1346;991;1120;658;2339;368;181;339;141;;;;
ALCP998.COB ;1601;888;1339;558;2491;272;127;268;108;;;;
ALCS024.COB ;4550;2720;3674;2069;7272;1339;576;1248;417;;;;
ALCS025.COB ;2498;1626;2015;1272;4126;918;458;778;315;;;;
ALCS026.COB ;4377;2529;3500;1880;6908;1451;670;1332;484;;;;
ALCS027.COB ;3947;2288;3177;1718;6237;1305;596;1188;429;;;;
ALCS028.COB ;3214;2019;2539;1524;5235;1152;561;985;373;;;;
ALCS029.COB ;3131;1937;2471;1454;5070;1108;547;959;372;;;;
ALCS030.COB ;2452;1508;1867;1064;3962;907;373;850;279;;;;
ALCS031.COB ;2486;1589;1948;1187;4077;894;433;791;312;;;;
ALCS032.COB ;2925;1664;2338;1258;4591;1033;445;935;323;;;;
ALCS048.COB ;2712;1517;2123;1102;4231;882;393;813;296;;;;
ALCS049.COB ;3321;1967;2561;1388;5290;1093;494;974;340;;;;
ALCS065.COB ;2422;1512;1866;1096;3936;896;408;839;313;;;;
ALCS066.COB ;4426;2716;3626;2129;7144;1246;612;1124;434;;;;
ALCS067.COB ;2012;1272;1598;977;3286;743;354;641;252;;;;
ALCS068.COB ;2176;1353;1770;1097;3531;823;378;672;251;;;;
ALCS070.COB ;2527;1373;1878;937;3902;885;325;820;252;;;;
ALCS140.COB ;2678;1191;2184;849;3871;684;288;643;222;;;;
ALCS141.COB ;6722;3445;5272;2257;10169;1803;798;1736;606;;;;
ALCS142.COB ;5808;2954;4646;2009;8764;1710;799;1636;610;;;;
ALCS143.COB ;6256;2940;5110;2038;9198;1561;752;1443;568;;;;
ALCS144.COB ;5430;2497;4517;1772;7929;1350;635;1280;494;;;;
ALCS145.COB ;2768;1347;2242;944;4117;778;339;738;255;;;;
ALCS146.COB ;5675;3188;4734;2390;8865;1294;692;1177;510;;;;
ALCS147.COB ;8252;4910;6874;3675;13164;1986;1130;1828;849;;;;
ALCS150.COB ;2294;1230;1820;900;3526;722;311;679;233;;;;
ALCS151.COB ;2603;1555;2055;1142;4160;803;360;768;278;;;;
ALCS152.COB ;2191;1120;1717;800;3313;694;268;665;208;;;;
ALCS241.COB ;5366;2818;4410;2038;8186;1449;733;1362;554;;;;
ALCS242.COB ;5205;2885;4206;2061;8092;1469;760;1382;585;;;;
ALCS244.COB ;4968;2699;4060;1935;7669;1363;703;1286;542;;;;
ALCS246.COB ;7243;4174;5940;3082;11419;1994;1097;1820;818;;;;
ALCS247.COB ;6953;3981;5758;2981;10936;1777;987;1643;738;;;;
ALCS248.COB ;7136;3844;5984;2862;10982;1807;963;1653;711;;;;
ALCS250.COB ;2500;1363;1925;937;3865;795;336;760;254;;;;
ALCS251.COB ;2496;1366;1921;939;3864;795;336;760;254;;;;
ALCU009.COB ;6114;5744;4787;3270;11860;3763;1507;3671;1064;;;;
ALCU014.COB ;781;672;606;442;1455;246;102;233;87;;;;
ALCU020.COB ;2658;1698;2395;1388;4358;525;271;499;228;;;;
ALCU021.COB ;14828;14376;13158;11774;29206;6698;4372;6626;3754;;;;
ALCU022.COB ;2371;1701;1947;1126;4074;654;312;625;259;;;;
ALCU023.COB ;1309;958;1052;601;2269;396;164;382;142;;;;
ALCU024.COB ;2811;2096;2178;1396;4909;877;510;799;409;;;;
ALCU026.COB ;5431;3803;4463;2578;9236;1484;849;1384;691;;;;
ALCU027.COB ;1359;798;1113;480;2159;238;110;231;79;;;;
ALCU028.COB ;2100;1213;1885;908;3315;555;294;537;253;;;;
ALCU029.COB ;6177;3982;5668;3321;10161;905;551;819;418;;;;
ALCU030.COB ;16361;16090;14662;13446;32453;7477;4972;7404;4344;;;;
ALCU031.COB ;1918;1353;1745;1137;3273;278;166;268;138;;;;
ALCU034.COB ;1104;898;917;596;2004;382;148;372;106;;;;
ALCU036.COB ;1413;996;1045;481;2411;468;148;441;107;;;;
ALCU039.COB ;435;407;330;214;844;192;97;159;52;;;;
ALCU042.COB ;431;407;328;214;840;190;97;157;52;;;;
ALCU045.COB ;2888;2158;2268;1368;5048;875;437;836;355;;;;
ALCU047.COB ;1783;993;1475;602;2778;538;239;516;190;;;;
ALCU050.COB ;4361;3660;4061;3174;8023;1658;1185;1638;932;;;;
ALCU051.COB ;1211;765;1052;573;1978;283;165;266;126;;;;
ALCU052.COB ;1812;1136;1473;698;2950;465;158;454;132;;;;
ALCU053.COB ;1396;1063;1132;686;2461;469;210;444;158;;;;
ALCU061.COB ;3309;1983;2586;1234;5294;965;461;913;363;;;;
ALCU062.COB ;1912;1125;1558;746;3039;531;260;485;202;;;;
ALCU063.COB ;1916;1420;1614;1033;3338;468;298;390;198;;;;
ALCU064.COB ;3210;1344;2933;992;4556;365;195;333;148;;;;
ALCU065.COB ;2635;1761;2363;1356;4398;600;374;497;247;;;;
ALCU066.COB ;941;534;796;341;1477;187;88;184;73;;;;
ALCU067.COB ;627;417;509;256;1046;95;44;82;32;;;;
ALCU068.COB ;782;411;694;272;1195;108;60;105;49;;;;
ALCU069.COB ;1677;1021;1458;726;2700;524;355;520;287;;;;
ALCU070.COB ;6206;3961;5866;3529;10169;622;352;618;302;;;;
ALCU071.COB ;246;222;182;94;470;115;30;115;20;;;;
ALCU080.COB ;1215;986;1066;714;2203;431;197;427;171;;;;
ALCU081.COB ;1170;890;1051;705;2062;282;143;280;125;;;;
ALCU082.COB ;613;296;522;182;911;105;46;105;42;;;;
ALCU100.COB ;747;559;601;367;1308;142;56;140;49;;;;
ALCU101.COB ;2944;1221;2693;873;4167;557;267;511;172;;;;
ALCU102.COB ;6585;2581;6209;2132;9168;657;427;543;267;;;;
ALCU103.COB ;4828;2090;4455;1569;6920;833;439;756;285;;;;
ALCU250.COB ;1677;1220;1461;905;2899;675;364;654;282;;;;
ALCU252.COB ;470;319;366;193;791;132;69;129;56;;;;
ALCU254.COB ;3928;3652;3354;2648;7582;1883;1236;1825;936;;;;
ALCU260.COB ;1652;1266;1384;844;2920;825;504;805;392;;;;
ALCU261.COB ;875;624;724;412;1501;321;168;300;116;;;;
ALCU262.COB ;1330;877;1128;584;2209;478;296;446;219;;;;
ALCU263.COB ;1351;902;1110;573;2255;385;176;374;152;;;;
ALCU264.COB ;447;284;361;186;733;84;59;84;49;;;;
ALCU265.COB ;876;586;663;347;1464;312;141;299;120;;;;
ALCVD40.COB ;616;451;470;303;1069;189;88;175;66;;;;
ALCVD41.COB ;1235;915;1059;721;2152;349;208;291;133;;;;
ALCVD42.COB ;1169;877;993;683;2048;337;196;285;127;;;;
ALCVD43.COB ;1074;765;928;614;1841;277;180;219;113;;;;
ALCVD44.COB ;962;682;816;531;1646;235;138;198;92;;;;
ALCVD45.COB ;800;583;654;432;1385;225;128;193;87;;;;
ALCVD46.COB ;728;534;582;383;1264;211;114;186;80;;;;
ALCVD47.COB ;970;740;794;546;1712;305;164;269;111;;;;
ALCVD69.COB ;795;607;619;418;1404;273;121;253;87;;;;
ALCVD70.COB ;963;741;787;548;1706;301;156;267;106;;;;
ALCVD71.COB ;678;493;532;345;1173;201;100;181;72;;;;
ALCVF01.COB ;1130;900;954;701;2032;323;182;278;120;;;;
ALCVF05.COB ;852;656;676;462;1510;285;144;259;101;;;;
ALCVF08.COB ;1132;842;956;648;1976;333;192;283;125;;;;
ALCVF11.COB ;1618;1131;1472;980;2751;369;272;265;159;;;;
ALCVF12.COB ;1711;1197;1565;1046;2910;399;302;280;174;;;;
ALCVF13.COB ;1565;1099;1419;948;2666;371;274;266;160;;;;
ALCVF14.COB ;1127;844;951;650;1973;331;190;282;124;;;;
ALCVF21.COB ;836;642;660;448;1480;281;140;257;99;;;;
AMPB402.COB ;1350;1010;1093;647;2362;318;164;308;133;;;;
AMPB424.COB ;1576;1259;1341;937;2837;430;267;375;194;;;;
AMPB431.COB ;3845;2636;3496;2169;6483;524;307;492;238;;;;
AMPB432.COB ;2124;1151;1863;761;3277;316;163;301;129;;;;
AMPB433.COB ;3033;1332;2758;913;4367;388;206;370;161;;;;
AMPB434.COB ;3047;1344;2772;925;4393;388;206;370;161;;;;
AMPB500.COB ;1766;1164;1482;750;2932;424;250;416;210;;;;
AMPB910.COB ;3067;2539;2610;1610;5608;1610;471;1599;246;;;;
AMPC100.COB ;2001;1279;1507;914;3282;688;261;645;196;;;;
AMPC110.COB ;2156;1399;1607;984;3557;749;274;702;197;;;;
AMPC120.COB ;2156;1399;1607;984;3557;749;274;702;197;;;;
AMPC130.COB ;1930;1222;1460;878;3154;660;252;619;192;;;;
AMPC140.COB ;2227;1452;1654;1015;3681;777;281;728;199;;;;
AMPC150.COB ;2225;1454;1656;1020;3681;774;283;725;203;;;;
AMPC160.COB ;2227;1452;1654;1015;3681;777;281;728;199;;;;
AMPP423.COB ;1920;2093;1543;1470;4015;1141;499;1030;389;;;;
AMPP426.COB ;3709;3371;3403;2908;7082;596;219;593;163;;;;
AMPP428.COB ;5892;5319;5536;4803;11213;699;198;677;113;;;;
AMPP429.COB ;2080;1658;1855;1326;3740;358;130;349;80;;;;
AMPP440.COB ;696;558;479;299;1256;208;88;194;68;;;;
AMPP505.COB ;1017;771;799;466;1790;194;101;185;85;;;;
AMPS001.COB ;2034;1004;1611;703;3040;582;251;552;192;;;;
AMPU025.COB ;1012;778;809;492;1792;515;167;508;115;;;;
AMPU027.COB ;1117;853;923;562;1972;445;199;422;151;;;;
AMPU028.COB ;326;154;236;59;482;65;11;65;9;;;;
AMPU029.COB ;615;274;517;161;891;115;54;105;42;;;;
AMPU101.COB ;516;307;408;170;825;97;46;97;42;;;;
AMPU800.COB ;4109;2371;3949;2152;6482;126;74;110;54;;;;
AMPU801.COB ;678;381;571;247;1061;138;69;127;57;;;;
CAPB005.COB ;4526;3471;3747;2455;7999;1617;887;1558;716;;;;
CAPB006.COB ;2824;2191;2406;1622;5017;784;460;762;390;;;;
CAPB081.COB ;1628;1144;1358;755;2774;399;186;380;147;;;;
CAPB082.COB ;1617;1140;1356;757;2759;397;186;378;147;;;;
CAPB083.COB ;1700;1123;1452;757;2825;381;185;362;147;;;;
CAPB087.COB ;1465;1036;1269;745;2503;307;170;290;133;;;;
CAPP001.COB ;1874;1312;1531;890;3188;426;211;409;179;;;;
CAPP002.COB ;2529;1831;2083;1240;4362;677;349;621;270;;;;
CAPP003.COB ;4441;3250;3661;2218;7693;1524;839;1423;658;;;;
CAPP011.COB ;2066;1384;1749;971;3452;480;218;466;179;;;;
CAPP012.COB ;3234;2145;2765;1452;5381;952;448;889;330;;;;
CAPP013.COB ;686;444;540;249;1132;152;58;138;47;;;;
CAPP014.COB ;1132;750;924;463;1884;256;134;236;106;;;;
CAPP015.COB ;1902;1324;1586;920;3228;489;275;430;199;;;;
CAPP016.COB ;742;600;586;383;1344;214;88;205;67;;;;
CAPP017.COB ;742;600;586;383;1344;214;88;205;67;;;;
CAPP022.COB ;649;438;505;246;1089;144;58;130;47;;;;
CAPP023.COB ;1068;824;869;556;1894;271;124;245;88;;;;
CAPP026.COB ;1519;1107;1217;744;2628;360;161;343;125;;;;
CAPP027.COB ;302;269;206;132;573;74;17;74;16;;;;
CAPP028.COB ;387;293;287;146;682;80;30;79;27;;;;
CAPP032.COB ;1307;963;1057;667;2272;347;175;318;131;;;;
CAPP033.COB ;1048;770;883;523;1820;288;134;255;95;;;;
CAPP039.COB ;1927;1285;1655;894;3214;528;234;478;166;;;;
CAPP043.COB ;2237;1539;1867;1039;3778;619;297;574;214;;;;
CAPP046.COB ;2433;1419;2061;879;3854;502;240;469;184;;;;
CAPP047.COB ;2918;1518;2485;975;4438;594;251;554;192;;;;
CAPP048.COB ;2820;1443;2342;910;4265;685;251;645;198;;;;
CAPP049.COB ;1256;913;1031;626;2171;268;96;258;79;;;;
CAPP050.COB ;2854;1472;2411;905;4328;566;253;531;192;;;;
CAPP061.COB ;2816;1729;2300;1002;4547;606;268;565;203;;;;
CAPP063.COB ;1516;996;1279;678;2514;374;146;345;106;;;;
CAPP064.COB ;2091;1461;1679;939;3554;512;235;452;174;;;;
CAPP070.COB ;589;481;457;280;1072;107;44;104;35;;;;
CAPP071.COB ;710;561;574;355;1273;178;64;164;48;;;;
CAPP073.COB ;749;544;623;347;1295;175;63;161;48;;;;
CAPP084.COB ;2340;1303;2004;863;3645;444;229;415;183;;;;
CAPP085.COB ;2359;1308;2021;867;3669;442;230;412;184;;;;
CAPP086.COB ;1109;741;935;482;1852;218;85;206;70;;;;
CAPS001.COB ;5300;3505;4308;2688;8807;1666;919;1522;704;;;;
CAPS002.COB ;8150;5347;6615;4047;13499;2655;1487;2341;1093;;;;
CAPS003.COB ;3794;2135;3079;1598;5931;1090;562;1008;418;;;;
CAPS004.COB ;5075;2846;4140;2206;7923;1499;772;1373;559;;;;
CAPS005.COB ;2737;1488;2149;1038;4227;780;337;737;258;;;;
CAPS006.COB ;4645;2616;3781;1966;7263;1286;660;1177;481;;;;
CAPS007.COB ;2993;1814;2344;1304;4809;978;454;923;353;;;;
CAPU004.COB ;2118;1525;1664;883;3645;773;388;714;289;;;;
CAPU005.COB ;853;716;732;515;1571;236;99;218;80;;;;
