filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
LADB150.COB ; 8940 ; 8168 ; 3802 ; 2328; False;108 ; 108 ; 92; 56;  0; 2
LADB200.COB ; 3250 ; 2248 ; 953 ; 508; False;95 ; 94 ; 57; 37;  0; 2
LADB300.COB ; 2472 ; 1879 ; 700 ; 390; False;166 ; 153 ; 156; 91;  0; 2
LADB400.COB ; 2487 ; 1733 ; 532 ; 306; False;183 ; 188 ; 175; 118;  2; 2
LADB600.COB ; 2586 ; 1889 ; 626 ; 356; False;205 ; 180 ; 193; 108;  2; 0
LADP100.COB ; 1471 ; 935 ; 238 ; 117; False;69 ; 53 ; 53; 16;  0; 3
LADP110.COB ; 1749 ; 1119 ; 339 ; 188; False;67 ; 52 ; 55; 28;  0; 2
LADP120.COB ; 1476 ; 770 ; 208 ; 96; False;101 ; 60 ; 89; 19;  0; 2
LADP130.COB ; 4567 ; 1683 ; 558 ; 354; False;66 ; 56 ; 54; 32;  0; 2
LADP310.COB ; 2498 ; 1469 ; 421 ; 243; False;70 ; 59 ; 58; 35;  0; 2
LADP320.COB ; 848 ; 587 ; 163 ; 44; True;66 ; 40 ; 64; 22;  2; 0
LADP330.COB ; 863 ; 593 ; 176 ; 52; True;70 ; 42 ; 68; 24;  2; 0
LADP340.COB ; 734 ; 528 ; 192 ; 58; True;78 ; 46 ; 76; 27;  2; 0
LADP350.COB ; 878 ; 498 ; 175 ; 49; True;71 ; 41 ; 69; 24;  2; 0
LADP420.COB ; 1643 ; 990 ; 471 ; 223; False;148 ; 134 ; 134; 65;  2; 2
LADP500.COB ; 1030 ; 778 ; 241 ; 92; True;86 ; 47 ; 86; 35;  0; 0
LADP700.COB ; 591 ; 463 ; 100 ; 33; True;77 ; 40 ; 77; 27;  0; 0
LADS010.COB ; 1773 ; 975 ; 594 ; 221; False;27 ; 30 ; 17; 10;  0; 2
LADS011.COB ; 1757 ; 936 ; 578 ; 203; False;21 ; 24 ; 7; 2;  0; 2
LADU100.COB ; 2304 ; 1400 ; 406 ; 270; False;60 ; 53 ; 48; 29;  0; 2
LADU200.COB ; 1993 ; 1253 ; 524 ; 307; False;71 ; 86 ; 45; 31;  2; 9
LADU300.COB ; 708 ; 454 ; 127 ; 65; False;35 ; 39 ; 25; 13;  0; 2
LEDB150.COB ; 7431 ; 6915 ; 3412 ; 2020; False;108 ; 108 ; 92; 56;  0; 2
LEDBW10.COB ; 1223 ; 796 ; 295 ; 136; False;71 ; 67 ; 57; 34;  0; 2
LEDBW20.COB ; 1935 ; 1175 ; 371 ; 204; False;179 ; 201 ; 159; 92;  4; 2
LEDBW30.COB ; 1111 ; 657 ; 214 ; 95; True;115 ; 134 ; 113; 57;  0; 0
LEDBW40.COB ; 1143 ; 692 ; 230 ; 100; False;118 ; 126 ; 104; 54;  0; 4
LEDP154.COB ; 836 ; 500 ; 171 ; 47; True;67 ; 38 ; 65; 22;  2; 0
LEDS001.COB ; 1750 ; 917 ; 570 ; 188; False;21 ; 24 ; 7; 2;  0; 2
LEDUB31.COB ; 1262 ; 938 ; 487 ; 251; False;61 ; 70 ; 27; 22;  0; 9
LEDUB32.COB ; 692 ; 381 ; 211 ; 76; False;47 ; 55 ; 27; 11;  0; 5
LEDUB33.COB ; 670 ; 363 ; 211 ; 76; False;47 ; 55 ; 27; 11;  0; 5
LEDUT31.COB ; 2091 ; 1902 ; 961 ; 468; False;69 ; 114 ; 35; 18;  0; 11
LEDUT32.COB ; 1233 ; 1074 ; 612 ; 292; False;61 ; 90 ; 33; 18;  0; 11
LEDUT33.COB ; 1076 ; 921 ; 510 ; 237; False;61 ; 84 ; 33; 18;  0; 11
LEDUW01.COB ; 3571 ; 2829 ; 1186 ; 709; False;109 ; 100 ; 75; 26;  4; 4
LEDUW02.COB ; 1234 ; 993 ; 396 ; 260; False;48 ; 48 ; 30; 9;  0; 2
LEDUW10.COB ; 2516 ; 2045 ; 1027 ; 698; False;65 ; 74 ; 45; 22;  0; 2
LEDUW20.COB ; 747 ; 547 ; 195 ; 111; False;56 ; 70 ; 36; 10;  2; 2
LITB120.COB ; 7831 ; 3684 ; 1141 ; 578; False;121 ; 124 ; 119; 67;  2; 0
LITB125.COB ; 8951 ; 4630 ; 1356 ; 716; False;329 ; 376 ; 281; 144;  2; 4
LITB130.COB ; 9396 ; 2535 ; 971 ; 486; False;200 ; 158 ; 190; 85;  0; 2
LITB135.COB ; 5683 ; 2267 ; 940 ; 466; False;104 ; 103 ; 96; 61;  2; 0
LITB150.COB ; 3472 ; 2053 ; 770 ; 389; False;160 ; 170 ; 150; 110;  0; 2
LITB160.COB ; 1256 ; 965 ; 281 ; 140; False;68 ; 66 ; 58; 37;  0; 2
LITB175.COB ; 5196 ; 1891 ; 676 ; 356; False;93 ; 94 ; 87; 45;  2; 0
LITB207.COB ; 2236 ; 1452 ; 573 ; 295; False;167 ; 205 ; 147; 85;  8; 6
LITB210.COB ; 3119 ; 1257 ; 395 ; 197; False;198 ; 209 ; 176; 92;  0; 4
LITB212.COB ; 1028 ; 804 ; 256 ; 107; True;133 ; 120 ; 131; 64;  0; 0
LITB226.COB ; 2712 ; 1784 ; 651 ; 321; False;187 ; 187 ; 165; 94;  0; 3
LITB227.COB ; 3472 ; 2358 ; 831 ; 418; False;284 ; 257 ; 258; 136;  2; 3
LITB229.COB ; 1246 ; 1078 ; 337 ; 156; True;212 ; 254 ; 206; 95;  4; 2
LITB241.COB ; 1527 ; 1104 ; 414 ; 182; False;73 ; 71 ; 57; 37;  0; 2
LITB260.COB ; 4787 ; 3294 ; 1263 ; 621; False;131 ; 109 ; 121; 64;  0; 2
LITB305.COB ; 4268 ; 2999 ; 797 ; 372; False;71 ; 63 ; 59; 35;  0; 2
LITB306.COB ; 3459 ; 2289 ; 649 ; 289; False;71 ; 63 ; 59; 35;  0; 2
LITB401.COB ; 1671 ; 1147 ; 381 ; 183; False;116 ; 108 ; 108; 47;  2; 0
LITB402.COB ; 4443 ; 3064 ; 1214 ; 681; False;181 ; 169 ; 168; 79;  2; 4
LITB925.COB ; 9031 ; 7885 ; 2656 ; 1865; False;150 ; 111 ; 140; 59;  0; 2
LITC501.COB ; 2902 ; 2432 ; 1139 ; 598; True;79 ; 81 ; 47; 29;  2; 2
LITC502.COB ; 2333 ; 1960 ; 911 ; 478; True;81 ; 84 ; 49; 30;  2; 2
LITC503.COB ; 2333 ; 1960 ; 911 ; 478; True;81 ; 84 ; 49; 30;  2; 2
LITC504.COB ; 2376 ; 2001 ; 928 ; 490; True;83 ; 87 ; 51; 31;  2; 2
LITC505.COB ; 3290 ; 2770 ; 1465 ; 763; False;64 ; 70 ; 44; 24;  0; 2
LITC506.COB ; 3293 ; 2772 ; 1471 ; 765; False;64 ; 70 ; 44; 24;  0; 2
LITC507.COB ; 2500 ; 2173 ; 994 ; 549; True;81 ; 84 ; 49; 30;  2; 2
LITC508.COB ; 4399 ; 3566 ; 1946 ; 954; False;64 ; 69 ; 42; 23;  0; 2
LITC509.COB ; 2216 ; 1851 ; 862 ; 452; True;73 ; 71 ; 41; 26;  2; 2
LITC510.COB ; 4820 ; 4000 ; 2086 ; 1069; False;68 ; 72 ; 46; 24;  0; 2
LITC511.COB ; 3697 ; 3120 ; 1632 ; 845; False;24 ; 31 ; 14; 5;  0; 7
