filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
OFCP870.COB ; 1641 ; 548 ; 176 ; 67; 27 ; 30 ; 25; 17;  0; 3
OFCP871.COB ; 2392 ; 1299 ; 479 ; 216; 25 ; 25 ; 19; 14;  2; 0
OFCP945.COB ; 1302 ; 1047 ; 368 ; 121; 112 ; 133 ; 106; 70;  4; 0
OFCP954.COB ; 4298 ; 2108 ; 580 ; 286; 33 ; 35 ; 31; 17;  0; 2
OFCP973.COB ; 1567 ; 914 ; 354 ; 173; 29 ; 32 ; 27; 18;  0; 2
OFCP990.COB ; 1344 ; 729 ; 249 ; 76; 34 ; 34 ; 30; 21;  2; 0
OFCS101.COB ; 7351 ; 4423 ; 2157 ; 1127; 63 ; 56 ; 55; 33;  4; 0
OFCS102.COB ; 7383 ; 4210 ; 2077 ; 1151; 93 ; 82 ; 79; 45;  8; 0
OFCS103.COB ; 4364 ; 2731 ; 1351 ; 697; 63 ; 56 ; 55; 33;  4; 0
OFCS104.COB ; 18418 ; 13787 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
OFCS105.COB ; 2529 ; 1452 ; 841 ; 377; 63 ; 56 ; 53; 31;  6; 0
OFCS106.COB ; 2096 ; 1067 ; 677 ; 275; 58 ; 53 ; 48; 28;  6; 0
OFCS107.COB ; 3530 ; 2077 ; 1099 ; 556; 93 ; 82 ; 79; 45;  8; 0
OFCS108.COB ; 2030 ; 1004 ; 641 ; 231; 16 ; 12 ; 14; 6;  1; 0
OFCS201.COB ; 4747 ; 3477 ; 1567 ; 866; 93 ; 82 ; 79; 45;  8; 0
OFCS202.COB ; 3340 ; 1961 ; 976 ; 492; 63 ; 56 ; 53; 31;  6; 0
OFCS203.COB ; 2338 ; 1281 ; 791 ; 302; 63 ; 56 ; 53; 31;  6; 0
OFCS204.COB ; 3330 ; 2370 ; 1242 ; 607; 63 ; 56 ; 53; 31;  6; 0
OFCS205.COB ; 3754 ; 2218 ; 1253 ; 615; 63 ; 56 ; 53; 31;  6; 0
OFCS206.COB ; 5946 ; 3874 ; 1977 ; 1095; 125 ; 106 ; 103; 54;  14; 0
OFCS207.COB ; 3080 ; 1873 ; 1087 ; 491; 63 ; 56 ; 53; 31;  6; 0
OFCS208.COB ; 4194 ; 2812 ; 1440 ; 750; 63 ; 56 ; 53; 31;  6; 0
OFCS209.COB ; 3753 ; 2448 ; 1191 ; 639; 63 ; 56 ; 55; 33;  4; 0
OFCS210.COB ; 4753 ; 3012 ; 1557 ; 873; 93 ; 82 ; 79; 45;  8; 0
OFCS211.COB ; 2521 ; 1406 ; 843 ; 367; 63 ; 56 ; 53; 31;  6; 0
OFCS212.COB ; 6495 ; 4415 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
OFCS301.COB ; 8493 ; 4399 ; 2100 ; 1097; 63 ; 56 ; 55; 33;  4; 0
OFCS302.COB ; 6750 ; 4488 ; 1992 ; 1119; 93 ; 82 ; 79; 45;  8; 0
OFCS303.COB ; 4645 ; 2549 ; 1446 ; 717; 63 ; 56 ; 53; 31;  6; 0
OFCS304.COB ; 3626 ; 2192 ; 1230 ; 565; 63 ; 56 ; 53; 31;  6; 0
OFCS305.COB ; 5749 ; 3328 ; 1435 ; 681; 63 ; 56 ; 55; 33;  4; 0
OFCS306.COB ; 16468 ; 11354 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
OFCS307.COB ; 8697 ; 5333 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
OFCS308.COB ; 14801 ; 9316 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
OFCS309.COB ; 2538 ; 1291 ; 773 ; 314; 63 ; 56 ; 53; 31;  6; 0
OFCS310.COB ; 2286 ; 1255 ; 741 ; 295; 63 ; 56 ; 53; 31;  6; 0
OFCS311.COB ; 2737 ; 1535 ; 900 ; 395; 63 ; 56 ; 53; 31;  6; 0
OFCS312.COB ; 18388 ; 12106 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
OFCS313.COB ; 3727 ; 2359 ; 1315 ; 630; 63 ; 56 ; 53; 31;  6; 0
OFCS314.COB ; 3484 ; 2260 ; 1230 ; 598; 63 ; 56 ; 53; 31;  6; 0
OFCS316.COB ; 3746 ; 1737 ; 966 ; 470; 98 ; 87 ; 80; 44;  12; 0
OFCS317.COB ; 3441 ; 1592 ; 926 ; 416; 63 ; 56 ; 53; 31;  6; 0
OFCS318.COB ; 3084 ; 1695 ; 964 ; 437; 63 ; 56 ; 55; 33;  4; 0
OFCS319.COB ; 6527 ; 3376 ; 1594 ; 845; 63 ; 56 ; 55; 33;  4; 0
OFCS320.COB ; 3832 ; 2537 ; 1267 ; 639; 63 ; 56 ; 53; 31;  6; 0
OFCS322.COB ; 2902 ; 1781 ; 984 ; 488; 63 ; 56 ; 55; 33;  4; 0
OFCS324.COB ; 2055 ; 1137 ; 692 ; 259; 16 ; 12 ; 14; 6;  1; 0
OFCS328.COB ; 2483 ; 1395 ; 816 ; 355; 63 ; 56 ; 55; 33;  4; 0
OFCS330.COB ; 6314 ; 3777 ; 1729 ; 966; 112 ; 96 ; 90; 47;  14; 0
