filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2;133;%Explored V1;% Explored V2;%Match V1;%Match V2;; Explored V2 ; matches V2;% Ex;% match;Inc ex;inc Match;
DABS090.COB ;4786;3103;1448;783; False;5;4;5;2;0;0;;0%;1%;0%;0%;;22;14;3%;2%;2%;2%;
DABS095.COB ;4163;2751;1446;752; False;5;4;5;2;0;0;;0%;1%;0%;0%;;22;14;3%;2%;2%;2%;
DABU001.COB ;778;659;199;94; False;45;26;45;24;0;0;;23%;28%;23%;26%;;69;45;73%;48%;45%;22%;
DABU003.COB ;791;578;157;81; False;74;43;74;41;0;0;;47%;53%;47%;51%;;63;59;78%;73%;25%;22%;
DABU005.COB ;2339;1465;456;194; False;36;22;36;18;0;0;;8%;11%;8%;9%;;26;18;13%;9%;2%;0%;
DABU006.COB ;3129;2681;1119;546; False;27;16;27;14;0;0;;2%;3%;2%;3%;;22;14;4%;3%;1%;0%;
DABU007.COB ;1323;1007;358;176; False;60;25;60;23;0;0;;17%;14%;17%;13%;;31;23;18%;13%;4%;0%;
DABU008.COB ;1055;885;323;165; False;26;12;26;10;0;0;;8%;7%;8%;6%;;21;17;13%;10%;6%;4%;
DABU009.COB ;2097;1737;604;298; False;36;12;34;10;0;0;;6%;4%;6%;3%;;18;10;6%;3%;2%;0%;
DABU014.COB ;1503;1017;316;140; False;48;28;48;26;0;0;;15%;20%;15%;19%;;45;27;32%;19%;12%;0%;
DABU015.COB ;1193;985;371;185; False;36;12;34;10;0;0;;10%;6%;9%;5%;;14;10;8%;5%;2%;0%;
DABU023.COB ;1003;839;305;159; False;26;12;26;10;0;0;;9%;8%;9%;6%;;21;17;13%;11%;5%;5%;
DABU500.COB ;6785;3873;1530;799; False;16;11;16;8;0;0;;1%;1%;1%;1%;;15;8;2%;1%;1%;0%;
DABU998.COB ;1606;1439;359;128; False;225;72;225;70;0;0;;63%;56%;63%;55%;;74;70;58%;55%;2%;0%;
DABU999.COB ;1002;928;165;77; False;23;11;23;9;0;0;;14%;14%;14%;12%;;15;11;19%;14%;5%;2%;
DABVA05.COB ;606;444;187;86; False;43;21;41;19;0;0;;23%;24%;22%;22%;;67;31;78%;36%;54%;14%;
DABVA10.COB ;1085;829;325;184; False;68;32;66;30;0;0;;21%;17%;20%;16%;;48;33;26%;18%;9%;2%;
DABVA20.COB ;1232;884;311;214; False;43;21;41;19;0;0;;14%;10%;13%;9%;;60;38;28%;18%;18%;9%;
DABVA50.COB ;1002;719;237;140; False;43;21;41;19;0;0;;18%;15%;17%;14%;;60;38;43%;27%;28%;13%;
DABVA60.COB ;1111;793;275;178; False;43;21;41;19;0;0;;16%;12%;15%;11%;;60;38;34%;21%;22%;10%;
DABVA70.COB ;895;694;291;150; False;68;32;66;30;0;0;;23%;21%;23%;20%;;48;33;32%;22%;11%;2%;
DABVA80.COB ;976;708;270;163; False;43;21;41;19;0;0;;16%;13%;15%;12%;;38;26;23%;16%;10%;4%;
DABVA85.COB ;763;584;267;115; False;68;32;66;30;0;0;;25%;28%;25%;26%;;82;47;71%;41%;43%;15%;
DABVA90.COB ;985;758;307;166; False;68;32;66;30;0;0;;22%;19%;21%;18%;;48;33;29%;20%;10%;2%;
DABVA95.COB ;920;690;271;162; False;43;21;41;19;0;0;;16%;13%;15%;12%;;72;38;44%;23%;31%;11%;
HSAB050.COB ;2356;1445;494;235; False;187;111;187;109;0;0;;38%;47%;38%;46%;;118;107;50%;46%;3%;0%;
HSAP004.COB ;2938;1774;446;250; False;34;21;34;15;0;0;;8%;8%;8%;6%;;34;20;14%;8%;6%;2%;
HSAP005.COB ;2383;1570;419;211; False;34;21;34;15;0;0;;8%;10%;8%;7%;;34;20;16%;9%;6%;2%;
HSAP008.COB ;1428;656;231;92; False;51;18;49;16;0;0;;22%;20%;21%;17%;;45;35;49%;38%;29%;21%;
HSAP040.COB ;1108;819;219;106; True;96;48;96;48;0;0;;44%;45%;44%;45%;;48;48;45%;45%;0%;0%;
HSAP060.COB ;906;550;130;47; False;24;9;22;7;0;0;;18%;19%;17%;15%;;40;28;85%;60%;66%;45%;
HSAS300.COB ;2208;1161;767;336; False;14;10;14;8;0;0;;2%;3%;2%;2%;;16;8;5%;2%;2%;0%;
HSAS301.COB ;2545;1052;650;250; False;14;10;14;8;0;0;;2%;4%;2%;3%;;16;8;6%;3%;2%;0%;
HSAU002.COB ;3181;2491;764;388; False;231;107;231;105;0;0;;30%;28%;30%;27%;;118;109;30%;28%;2%;1%;
HSAU300.COB ;3859;2351;1023;620; False;55;42;55;38;0;0;;5%;7%;5%;6%;;48;44;8%;7%;1%;1%;
HSAU301.COB ;3360;2173;759;391; False;128;74;126;72;0;0;;17%;19%;17%;18%;;82;72;21%;18%;2%;0%;
HSPB002.COB ;3328;969;330;153; False;92;55;90;55;0;0;;28%;36%;27%;36%;;73;60;48%;39%;12%;3%;
HSPB020.COB ;4123;1328;469;228; False;72;45;70;43;0;0;;15%;20%;15%;19%;;77;55;34%;24%;14%;5%;
HSPB025.COB ;1771;1257;441;202; False;92;53;90;53;0;0;;21%;26%;20%;26%;;82;54;41%;27%;15%;1%;
HSPB029.COB ;2508;1896;676;290; False;123;60;121;60;0;0;;18%;21%;18%;21%;;87;61;30%;21%;9%;0%;
HSPB032.COB ;1087;903;279;144; False;92;55;90;55;0;0;;33%;38%;32%;38%;;106;89;74%;62%;36%;24%;
HSPB033.COB ;1847;1328;469;228; False;72;45;70;43;0;0;;15%;20%;15%;19%;;77;55;34%;24%;14%;5%;
HSPB035.COB ;2614;1988;749;313; False;119;60;117;60;0;0;;16%;19%;16%;19%;;90;56;29%;18%;10%;-1%;
HSPB036.COB ;1799;1279;453;205; False;92;53;90;53;0;0;;20%;26%;20%;26%;;85;54;41%;26%;15%;0%;
HSPB063.COB ;2473;1639;527;255; False;85;50;85;48;0;0;;16%;20%;16%;19%;;56;48;22%;19%;2%;0%;
HSPB081.COB ;1177;573;166;68; False;66;26;66;24;0;0;;40%;38%;40%;35%;;26;26;38%;38%;0%;3%;
HSPB929.COB ;1566;1204;493;229; False;132;81;132;79;0;0;;27%;35%;27%;34%;;87;79;38%;34%;3%;0%;
HSPP017.COB ;377;286;72;18; True;57;18;57;18;0;0;;79%;100%;79%;100%;;18;18;100%;100%;0%;0%;
HSPP018.COB ;2697;742;300;97; False;45;16;45;14;0;0;;15%;16%;15%;14%;;42;30;43%;31%;27%;17%;
HSPP019.COB ;370;286;72;18; True;57;18;57;18;0;0;;79%;100%;79%;100%;;18;18;100%;100%;0%;0%;
HSPP031.COB ;679;445;157;41; True;96;35;96;35;0;0;;61%;85%;61%;85%;;35;35;85%;85%;0%;0%;
HSPP034.COB ;1104;749;306;98; False;45;16;43;14;0;0;;15%;16%;14%;14%;;42;30;43%;31%;27%;17%;
HSPP040.COB ;854;430;102;34; True;76;28;76;28;0;0;;75%;82%;75%;82%;;28;28;82%;82%;0%;0%;
HSPP064.COB ;2412;1911;728;349; False;52;26;52;24;0;0;;7%;7%;7%;7%;;29;25;8%;7%;1%;0%;
HSPP068.COB ;1275;653;237;92; False;52;18;50;16;0;0;;22%;20%;21%;17%;;45;35;49%;38%;29%;21%;
HSPP069.COB ;3332;2082;810;403; False;34;21;34;14;0;0;;4%;5%;4%;3%;;34;19;8%;5%;3%;2%;
HSPP070.COB ;1378;273;59;18; True;55;18;55;18;0;0;;93%;100%;93%;100%;;18;18;100%;100%;0%;0%;
HSPP085.COB ;2423;1032;425;173; False;59;28;59;26;0;0;;14%;16%;14%;15%;;31;27;18%;16%;2%;1%;
HSPP087.COB ;1088;625;136;57; False;29;11;27;9;0;0;;21%;19%;20%;16%;;34;24;60%;42%;41%;26%;
HSPP090.COB ;951;734;252;106; False;57;27;57;25;0;0;;23%;25%;23%;24%;;30;26;28%;25%;3%;1%;
HSPP097.COB ;3935;3137;2685;1611; False;54;27;54;25;0;0;;2%;2%;2%;2%;;30;26;2%;2%;0%;0%;
HSPP098.COB ;2038;1526;537;283; False;63;31;63;29;0;0;;12%;11%;12%;10%;;34;30;12%;11%;1%;1%;
HSPP105.COB ;3302;1989;669;415; False;63;30;63;28;0;0;;9%;7%;9%;7%;;31;31;7%;7%;0%;0%;
HSPP106.COB ;1134;844;223;107; True;100;49;100;49;0;0;;45%;46%;45%;46%;;49;49;46%;46%;0%;0%;
HSPP107.COB ;3493;2202;726;445; False;63;30;63;28;0;0;;9%;7%;9%;6%;;31;31;7%;7%;0%;1%;
HSPS302.COB ;2237;1158;783;311; False;14;10;14;8;0;0;;2%;3%;2%;3%;;16;8;5%;3%;2%;0%;
HSPS303.COB ;2883;1802;659;261; False;14;10;14;8;0;0;;2%;4%;2%;3%;;16;8;6%;3%;2%;0%;
HSPU005.COB ;15911;12784;2844;1635; False;73;33;73;31;0;0;;3%;2%;3%;2%;;139;112;9%;7%;7%;5%;
HSPU010.COB ;292;280;144;58; False;55;23;55;21;0;0;;38%;40%;38%;36%;;37;27;64%;47%;24%;11%;
HSPU011.COB ;314;296;145;48; False;55;23;55;21;0;0;;38%;48%;38%;44%;;46;23;96%;48%;48%;4%;
HSPU300.COB ;1542;228;40;15; True;39;15;39;15;0;0;;98%;100%;98%;100%;;15;15;100%;100%;0%;0%;
HSPU302.COB ;6610;2896;1352;813; False;34;25;34;21;0;0;;3%;3%;3%;3%;;42;32;5%;4%;2%;1%;
HSPU303.COB ;4944;3609;1035;590; False;49;28;49;26;0;0;;5%;5%;5%;4%;;31;27;5%;5%;0%;1%;
HSPU400.COB ;1218;176;28;13; True;27;13;27;13;0;0;;96%;100%;96%;100%;;13;13;100%;100%;0%;0%;
HSPU500.COB ;2146;883;296;146; False;35;16;33;14;0;0;;12%;11%;11%;10%;;27;19;18%;13%;7%;3%;
L62B480.COB ;1132;892;255;116; False;98;51;96;50;0;0;;38%;44%;38%;43%;;63;48;54%;41%;10%;-2%;
L62B481.COB ;1688;1318;518;268; False;157;79;157;77;0;0;;30%;29%;30%;29%;;88;73;33%;27%;4%;-2%;
L62P261.COB ;2068;1304;596;278; False;34;19;34;14;0;0;;6%;7%;6%;5%;;23;14;8%;5%;1%;0%;
L62U019.COB ;374;128;49;10; False;14;8;14;5;0;0;;29%;80%;29%;50%;;8;3;80%;30%;0%;-20%;
L62U200.COB ;1220;825;399;172; False;35;19;35;17;0;0;;9%;11%;9%;10%;;117;107;68%;62%;57%;52%;
L62U300.COB ;551;495;159;66; True;41;16;41;16;0;0;;26%;24%;26%;24%;;16;16;24%;24%;0%;0%;
LADB140.COB ;1665;1447;397;209; False;166;91;164;90;0;0;;42%;44%;41%;43%;;96;85;46%;41%;2%;-2%;
LADB150.COB ;8940;8168;3802;2328; False;94;58;94;56;0;0;;2%;2%;2%;2%;;68;56;3%;2%;1%;0%;
LADB200.COB ;3250;2248;953;508; False;57;34;55;32;0;0;;6%;7%;6%;6%;;45;37;9%;7%;2%;1%;
LADB300.COB ;2472;1879;700;390; False;158;91;158;89;0;0;;23%;23%;23%;23%;;100;91;26%;23%;3%;0%;
LADB400.COB ;2487;1733;532;306; False;160;93;158;93;0;0;;30%;30%;30%;30%;;140;118;46%;39%;16%;9%;
LADB600.COB ;2586;1889;626;356; False;205;112;203;110;0;0;;33%;31%;32%;31%;;128;108;36%;30%;5%;-1%;
LADP100.COB ;1471;935;238;117; False;55;21;55;18;0;0;;23%;18%;23%;15%;;32;16;27%;14%;9%;-1%;
LADP110.COB ;1749;1119;339;188; False;60;29;60;27;0;0;;18%;15%;18%;14%;;32;28;17%;15%;2%;1%;
LADP120.COB ;1476;770;208;96; False;72;27;70;25;0;0;;35%;28%;34%;26%;;27;19;28%;20%;0%;-6%;
LADP130.COB ;4567;1683;558;354; False;59;33;59;31;0;0;;11%;9%;11%;9%;;36;32;10%;9%;1%;0%;
LADP310.COB ;2498;1469;421;243; False;63;36;63;34;0;0;;15%;15%;15%;14%;;39;35;16%;14%;1%;0%;
LADP320.COB ;848;587;163;44; False;56;22;56;20;0;0;;34%;50%;34%;45%;;22;22;50%;50%;0%;5%;
LADP330.COB ;863;593;176;52; False;60;24;60;22;0;0;;34%;46%;34%;42%;;24;24;46%;46%;0%;4%;
LADP340.COB ;734;528;192;58; False;63;27;63;25;0;0;;33%;47%;33%;43%;;27;27;47%;47%;0%;4%;
LADP350.COB ;878;498;175;49; False;61;24;61;22;0;0;;35%;49%;35%;45%;;24;24;49%;49%;0%;4%;
LADP420.COB ;1643;990;471;223; False;107;64;105;62;0;0;;23%;29%;22%;28%;;82;65;37%;29%;8%;1%;
LADP500.COB ;1030;778;241;92; True;86;35;86;35;0;0;;36%;38%;36%;38%;;35;35;38%;38%;0%;0%;
LADP700.COB ;591;463;100;33; True;77;27;77;27;0;0;;77%;82%;77%;82%;;27;27;82%;82%;0%;0%;
LADS010.COB ;1773;975;594;221; False;19;12;19;10;0;0;;3%;5%;3%;5%;;18;10;8%;5%;3%;0%;
LADS011.COB ;1757;936;578;203; False;5;4;3;2;0;0;;1%;2%;1%;1%;;10;2;5%;1%;3%;0%;
LADU100.COB ;2304;1400;406;270; False;53;30;53;28;0;0;;13%;11%;13%;10%;;33;29;12%;11%;1%;1%;
LADU200.COB ;1993;1253;524;307; False;39;25;39;18;0;0;;7%;8%;7%;6%;;51;31;17%;10%;9%;4%;
LADU300.COB ;708;454;127;65; False;27;19;27;17;0;0;;21%;29%;21%;26%;;23;13;35%;20%;6%;-6%;
LEDB150.COB ;7431;6915;3412;2020; False;94;58;94;56;0;0;;3%;3%;3%;3%;;68;56;3%;3%;0%;0%;
LEDBW10.COB ;1223;796;295;136; False;57;31;57;29;0;0;;19%;23%;19%;21%;;42;34;31%;25%;8%;4%;
LEDBW20.COB ;1935;1175;371;204; False;134;75;134;73;0;0;;36%;37%;36%;36%;;117;92;57%;45%;20%;9%;
LEDBW30.COB ;1111;657;214;95; False;61;31;59;29;0;0;;29%;33%;28%;31%;;57;57;60%;60%;27%;29%;
LEDBW40.COB ;1143;692;230;100; False;61;31;59;29;0;0;;27%;31%;26%;29%;;69;54;69%;54%;38%;25%;
LEDP154.COB ;836;500;171;47; False;57;22;57;20;0;0;;33%;47%;33%;43%;;22;22;47%;47%;0%;4%;
LEDS001.COB ;1750;917;570;188; False;5;4;3;2;0;0;;1%;2%;1%;1%;;10;2;5%;1%;3%;0%;
LEDUB31.COB ;1262;938;487;251; False;23;19;23;10;0;0;;5%;8%;5%;4%;;33;22;13%;9%;5%;5%;
LEDUB32.COB ;692;381;211;76; False;23;15;23;10;0;0;;11%;20%;11%;13%;;32;11;42%;14%;22%;1%;
LEDUB33.COB ;670;363;211;76; False;23;15;23;10;0;0;;11%;20%;11%;13%;;32;11;42%;14%;22%;1%;
LEDUT31.COB ;2091;1902;961;468; False;37;29;37;18;0;0;;4%;6%;4%;4%;;74;18;16%;4%;10%;0%;
LEDUT32.COB ;1233;1074;612;292; False;37;29;37;18;0;0;;6%;10%;6%;6%;;57;18;20%;6%;10%;0%;
LEDUT33.COB ;1076;921;510;237; False;37;29;37;18;0;0;;7%;12%;7%;8%;;51;18;22%;8%;10%;0%;
LEDUW01.COB ;3571;2829;1186;709; False;24;11;24;9;0;0;;2%;2%;2%;1%;;32;26;5%;4%;3%;3%;
LEDUW02.COB ;1234;993;396;260; False;16;7;14;5;0;0;;4%;3%;4%;2%;;13;9;5%;3%;2%;1%;
LEDUW10.COB ;2516;2045;1027;698; False;20;10;18;8;0;0;;2%;1%;2%;1%;;26;22;4%;3%;3%;2%;
LEDUW20.COB ;747;547;195;111; False;16;8;14;6;0;0;;8%;7%;7%;5%;;33;10;30%;9%;23%;4%;
LITB120.COB ;7831;3684;1141;578; False;104;62;102;59;0;0;;9%;11%;9%;10%;;81;67;14%;12%;3%;2%;
LITB125.COB ;8951;4630;1356;716; False;104;62;102;59;0;0;;8%;9%;8%;8%;;187;144;26%;20%;17%;12%;
LITB130.COB ;9396;2535;971;486; False;164;91;164;89;0;0;;17%;19%;17%;18%;;95;85;20%;17%;1%;-1%;
LITB135.COB ;5683;2267;940;466; False;98;58;96;58;0;0;;10%;12%;10%;12%;;71;61;15%;13%;3%;1%;
LITB150.COB ;3472;2053;770;389; False;136;116;136;114;0;0;;18%;30%;18%;29%;;120;110;31%;28%;1%;-1%;
LITB160.COB ;1256;965;281;140; False;60;33;58;31;0;0;;21%;24%;21%;22%;;46;37;33%;26%;9%;4%;
LITB175.COB ;5196;1891;676;356; False;76;47;74;47;0;0;;11%;13%;11%;13%;;70;45;20%;13%;7%;0%;
LITB207.COB ;2236;1452;573;295; False;27;13;25;11;0;0;;5%;4%;4%;4%;;128;85;43%;29%;39%;25%;
LITB210.COB ;3119;1257;395;197; False;86;50;84;50;0;0;;22%;25%;21%;25%;;117;92;59%;47%;34%;22%;
LITB212.COB ;1028;804;256;107; False;59;33;57;31;0;0;;23%;31%;22%;29%;;66;64;62%;60%;31%;31%;
LITB226.COB ;2712;1784;651;321; False;104;55;104;53;0;0;;16%;17%;16%;17%;;106;94;33%;29%;16%;12%;
LITB227.COB ;3472;2358;831;418; False;110;55;108;53;0;0;;13%;13%;13%;13%;;148;136;35%;33%;22%;20%;
LITB229.COB ;1246;1078;337;156; False;167;80;165;78;0;0;;50%;51%;49%;50%;;97;95;62%;61%;11%;11%;
LITB241.COB ;1527;1104;414;182; False;59;33;57;31;0;0;;14%;18%;14%;17%;;45;37;25%;20%;7%;3%;
LITB260.COB ;4787;3294;1263;621; False;107;66;107;64;0;0;;8%;11%;8%;10%;;72;64;12%;10%;1%;0%;
LITB305.COB ;4268;2999;797;372; False;61;33;59;31;0;0;;8%;9%;7%;8%;;41;35;11%;9%;2%;1%;
LITB306.COB ;3459;2289;649;289; False;61;33;59;31;0;0;;9%;11%;9%;11%;;41;35;14%;12%;3%;1%;
LITB401.COB ;1671;1147;381;183; False;110;57;108;57;0;0;;29%;31%;28%;31%;;77;47;42%;26%;11%;-5%;
LITB402.COB ;4443;3064;1214;681; False;126;57;124;55;0;0;;10%;8%;10%;8%;;103;79;15%;12%;7%;4%;
LITB925.COB ;9031;7885;2656;1865; False;130;65;130;63;0;0;;5%;3%;5%;3%;;69;59;4%;3%;1%;0%;
LITC501.COB ;2902;2432;1139;598; False;42;20;40;18;0;0;;4%;3%;4%;3%;;35;29;6%;5%;3%;2%;
LITC502.COB ;2333;1960;911;478; False;44;21;42;19;0;0;;5%;4%;5%;4%;;36;30;8%;6%;4%;2%;
LITC503.COB ;2333;1960;911;478; False;44;21;42;19;0;0;;5%;4%;5%;4%;;36;30;8%;6%;4%;2%;
LITC504.COB ;2376;2001;928;490; False;46;22;44;20;0;0;;5%;4%;5%;4%;;37;31;8%;6%;4%;2%;
LITC505.COB ;3290;2770;1465;763; False;46;26;44;24;0;0;;3%;3%;3%;3%;;32;24;4%;3%;1%;0%;
LITC506.COB ;3293;2772;1471;765; False;46;26;44;24;0;0;;3%;3%;3%;3%;;32;24;4%;3%;1%;0%;
LITC507.COB ;2500;2173;994;549; False;44;21;42;19;0;0;;4%;4%;4%;3%;;36;30;7%;5%;3%;2%;
LITC508.COB ;4399;3566;1946;954; False;44;25;42;23;0;0;;2%;3%;2%;2%;;31;23;3%;2%;0%;0%;
LITC509.COB ;2216;1851;862;452; False;36;17;34;15;0;0;;4%;4%;4%;3%;;32;26;7%;6%;3%;3%;
LITC510.COB ;4820;4000;2086;1069; False;48;26;46;24;0;0;;2%;2%;2%;2%;;32;24;3%;2%;1%;0%;
LITC511.COB ;3697;3120;1632;845; False;16;12;16;5;0;0;;1%;1%;1%;1%;;20;5;2%;1%;1%;0%;
LITC512.COB ;4331;3417;1935;939; False;48;27;46;25;0;0;;2%;3%;2%;3%;;33;25;4%;3%;1%;0%;
LITC513.COB ;3326;2823;1511;771; False;46;26;44;24;0;0;;3%;3%;3%;3%;;32;24;4%;3%;1%;0%;
LITP100.COB ;4512;3482;1346;426; False;48;22;48;17;0;0;;4%;5%;4%;4%;;26;17;6%;4%;1%;0%;
LITP105.COB ;6872;4155;1466;661; False;49;21;49;19;0;0;;3%;3%;3%;3%;;148;109;22%;16%;19%;13%;
LITP110.COB ;12951;6243;3171;1470; False;62;30;62;28;0;0;;2%;2%;2%;2%;;33;29;2%;2%;0%;0%;
LITP115.COB ;7477;2619;1077;422; False;71;28;71;24;0;0;;7%;7%;7%;6%;;44;24;10%;6%;3%;0%;
LITP165.COB ;1448;887;313;110; False;85;37;85;35;0;0;;27%;34%;27%;32%;;44;42;40%;38%;6%;6%;
LITP170.COB ;6568;3715;1480;812; False;60;30;60;28;0;0;;4%;4%;4%;3%;;33;29;4%;4%;0%;1%;
LITP200.COB ;13310;5683;2458;1147; False;62;30;62;28;0;0;;3%;3%;3%;2%;;33;29;3%;3%;0%;1%;
LITP208.COB ;3161;1491;563;234; False;110;47;110;45;0;0;;20%;20%;20%;19%;;53;45;23%;19%;3%;0%;
LITP214.COB ;4371;943;440;142; False;59;28;59;26;0;0;;13%;20%;13%;18%;;31;27;22%;19%;2%;1%;
LITP216.COB ;2110;1312;360;133; False;59;22;59;20;0;0;;16%;17%;16%;15%;;51;32;38%;24%;21%;9%;
LITP217.COB ;2979;1305;408;209; False;85;32;85;30;0;0;;21%;15%;21%;14%;;38;30;18%;14%;3%;0%;
LITP218.COB ;2819;1047;404;234; False;84;45;84;43;0;0;;21%;19%;21%;18%;;53;41;23%;18%;4%;0%;
LITP219.COB ;2155;766;277;97; False;83;35;81;33;0;0;;30%;36%;29%;34%;;42;27;43%;28%;7%;-6%;
LITP220.COB ;1829;872;308;139; False;131;65;129;63;0;0;;43%;47%;42%;45%;;75;73;54%;53%;7%;8%;
LITP221.COB ;4048;1451;512;225; False;61;31;59;29;0;0;;12%;14%;12%;13%;;33;25;15%;11%;1%;-2%;
LITP222.COB ;8617;4317;1349;529; False;89;45;89;43;0;0;;7%;9%;7%;8%;;48;44;9%;8%;0%;0%;
LITP224.COB ;4418;2871;1277;362; False;26;12;26;10;0;0;;2%;3%;2%;3%;;78;50;22%;14%;19%;11%;
LITP225.COB ;1885;750;270;96; False;32;20;32;14;0;0;;12%;21%;12%;15%;;24;14;25%;15%;4%;0%;
LITP240.COB ;6229;3755;1193;576; False;48;18;48;16;0;0;;4%;3%;4%;3%;;73;49;13%;9%;10%;6%;
LITP250.COB ;924;562;165;57; False;40;38;40;36;0;0;;24%;67%;24%;63%;;49;49;86%;86%;19%;23%;
LITP251.COB ;979;502;129;43; False;50;24;50;19;0;0;;39%;56%;39%;44%;;28;19;65%;44%;9%;0%;
LITP252.COB ;1045;611;163;59; False;43;24;43;22;0;0;;26%;41%;26%;37%;;27;18;46%;31%;5%;-6%;
LITP253.COB ;780;569;165;59; False;67;39;67;37;0;0;;41%;66%;41%;63%;;52;42;88%;71%;22%;8%;
LITP254.COB ;2224;1107;403;203; False;46;27;46;22;0;0;;11%;13%;11%;11%;;31;22;15%;11%;2%;0%;
LITP255.COB ;1040;644;172;65; False;43;24;43;22;0;0;;25%;37%;25%;34%;;43;32;66%;49%;29%;15%;
LITP256.COB ;1057;504;126;46; False;30;19;30;14;0;0;;24%;41%;24%;30%;;23;14;50%;30%;9%;0%;
LITP257.COB ;1359;616;181;88; False;30;19;30;14;0;0;;17%;22%;17%;16%;;23;14;26%;16%;4%;0%;
LITP258.COB ;1030;613;163;59; False;43;24;43;22;0;0;;26%;41%;26%;37%;;27;18;46%;31%;5%;-6%;
LITP300.COB ;1128;727;334;138; False;58;29;58;27;0;0;;17%;21%;17%;20%;;32;28;23%;20%;2%;0%;
LITP420.COB ;1739;988;407;189; False;66;35;65;33;0;0;;16%;19%;16%;17%;;52;39;28%;21%;9%;4%;
LITP505.COB ;1178;692;278;117; False;54;31;54;29;0;0;;19%;26%;19%;25%;;34;30;29%;26%;3%;1%;
LITP650.COB ;2715;1021;315;130; False;90;40;90;38;0;0;;29%;31%;29%;29%;;46;46;35%;35%;4%;6%;
LITP920.COB ;605;399;79;24; True;55;18;55;18;0;0;;70%;75%;70%;75%;;18;18;75%;75%;0%;0%;
LITP921.COB ;646;414;79;24; True;55;18;55;18;0;0;;70%;75%;70%;75%;;18;18;75%;75%;0%;0%;
LITP922.COB ;545;381;77;24; True;53;18;53;18;0;0;;69%;75%;69%;75%;;18;18;75%;75%;0%;0%;
LITP923.COB ;660;426;83;24; True;59;18;59;18;0;0;;71%;75%;71%;75%;;18;18;75%;75%;0%;0%;
LITS010.COB ;5886;2870;1578;792; False;34;20;34;18;0;0;;2%;3%;2%;2%;;26;18;3%;2%;0%;0%;
LITS011.COB ;6181;2842;1578;781; False;34;20;34;18;0;0;;2%;3%;2%;2%;;26;18;3%;2%;0%;0%;
LITS012.COB ;6172;2762;1406;738; False;35;20;35;18;0;0;;2%;3%;2%;2%;;26;18;4%;2%;1%;0%;
LITS013.COB ;4162;2577;1345;632; False;34;20;34;18;0;0;;3%;3%;3%;3%;;26;18;4%;3%;1%;0%;
LITS014.COB ;11869;6801;3462;1931; False;34;20;34;18;0;0;;1%;1%;1%;1%;;26;18;1%;1%;0%;0%;
LITS015.COB ;2911;1643;925;462; False;35;20;35;18;0;0;;4%;4%;4%;4%;;26;18;6%;4%;2%;0%;
LITS016.COB ;8031;3789;2093;1136; False;34;20;34;18;0;0;;2%;2%;2%;2%;;26;18;2%;2%;0%;0%;
LITS017.COB ;2251;1274;730;298; False;34;20;34;18;0;0;;5%;7%;5%;6%;;26;18;9%;6%;2%;0%;
LITS018.COB ;5508;3015;1703;908; False;34;20;34;18;0;0;;2%;2%;2%;2%;;26;18;3%;2%;1%;0%;
LITS019.COB ;2069;1158;687;273; False;34;20;34;18;0;0;;5%;7%;5%;7%;;26;18;10%;7%;3%;0%;
LITS020.COB ;5990;2749;1421;716; False;35;20;35;18;0;0;;2%;3%;2%;3%;;26;18;4%;3%;1%;0%;
LITS021.COB ;12336;6457;3299;1962; False;35;20;35;18;0;0;;1%;1%;1%;1%;;26;18;1%;1%;0%;0%;
LITS200.COB ;2953;1634;935;429; False;34;20;34;18;0;0;;4%;5%;4%;4%;;26;18;6%;4%;1%;0%;
LITS201.COB ;2647;1416;844;358; False;34;20;34;18;0;0;;4%;6%;4%;5%;;26;18;7%;5%;1%;0%;
LITS300.COB ;4244;2391;1319;670; False;35;20;35;18;0;0;;3%;3%;3%;3%;;26;18;4%;3%;1%;0%;
LITS301.COB ;15972;9955;4599;2743; False;35;20;35;18;0;0;;1%;1%;1%;1%;;26;18;1%;1%;0%;0%;
LITS302.COB ;9081;4710;3641;1777; False;34;20;34;18;0;0;;1%;1%;1%;1%;;26;18;1%;1%;0%;0%;
LITS303.COB ;9447;4640;3638;1699; False;34;20;34;18;0;0;;1%;1%;1%;1%;;26;18;2%;1%;1%;0%;
LITS304.COB ;2430;1342;786;319; False;34;20;34;18;0;0;;4%;6%;4%;6%;;26;18;8%;6%;2%;0%;
LITS305.COB ;4066;1934;1201;528; False;35;20;35;18;0;0;;3%;4%;3%;3%;;26;18;5%;3%;1%;0%;
LITS306.COB ;2663;1508;951;382; False;37;21;37;19;0;0;;4%;5%;4%;5%;;27;19;7%;5%;2%;0%;
LITS307.COB ;3449;2127;1358;662; False;34;20;34;18;0;0;;3%;3%;3%;3%;;26;18;4%;3%;1%;0%;
LITS309.COB ;7886;4215;2269;1185; False;33;20;33;18;0;0;;1%;2%;1%;2%;;26;18;2%;2%;0%;0%;
LITS310.COB ;8076;4160;2227;1173; False;33;20;33;18;0;0;;1%;2%;1%;2%;;26;18;2%;2%;0%;0%;
LITS311.COB ;6337;3987;2108;1245; False;35;20;35;18;0;0;;2%;2%;2%;1%;;26;18;2%;1%;0%;0%;
