filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2;133;%Explored V1;% Explored V2;%Match V1;%Match V2;; Explored V2 ; matches V2;% Ex;% match;Inc ex;inc Match;
ALCB660.COB ;1829;989;305;143; False;157;85;157;83;0;0;;51%;59%;51%;58%;;90;80;63%;56%;4%;-2%;
ALCB661.COB ;3782;975;305;141; False;159;84;159;82;0;0;;52%;60%;52%;58%;;89;79;63%;56%;3%;-2%;
ALCB665.COB ;3327;2000;673;339; False;188;104;186;102;0;0;;28%;31%;28%;30%;;140;118;41%;35%;10%;5%;
ALCB668.COB ;1075;904;301;154; False;98;61;96;59;0;0;;33%;40%;32%;38%;;111;110;72%;71%;32%;33%;
ALCB682.COB ;3320;2048;677;397; False;82;51;80;49;0;0;;12%;13%;12%;12%;;74;53;19%;13%;6%;1%;
ALCB683.COB ;2620;1683;524;292; False;80;49;78;47;0;0;;15%;17%;15%;16%;;67;49;23%;17%;6%;1%;
ALCB751.COB ;1532;794;263;106; False;61;33;59;31;0;0;;23%;31%;22%;29%;;44;37;42%;35%;11%;6%;
ALCB756.COB ;1983;1226;224;80; False;61;33;59;31;0;0;;27%;41%;26%;39%;;45;35;56%;44%;15%;5%;
ALCB937.COB ;8697;4148;1216;625; False;107;66;107;64;0;0;;9%;11%;9%;10%;;72;62;12%;10%;1%;0%;
ALCB997.COB ;4788;3216;840;437; False;64;34;62;32;0;0;;8%;8%;7%;7%;;87;78;20%;18%;12%;11%;
ALCC024.COB ;3269;2759;1468;782; False;18;10;18;5;0;0;;1%;1%;1%;1%;;18;5;2%;1%;1%;0%;
ALCC025.COB ;2186;1585;810;354; False;18;9;18;5;0;0;;2%;3%;2%;1%;;15;5;4%;1%;1%;0%;
ALCC026.COB ;3218;2608;1408;717; False;18;10;18;5;0;0;;1%;1%;1%;1%;;18;5;3%;1%;2%;0%;
ALCC027.COB ;3252;2628;1419;721; False;18;10;18;5;0;0;;1%;1%;1%;1%;;18;5;2%;1%;1%;0%;
ALCC028.COB ;2175;1603;823;367; False;46;21;44;19;0;0;;6%;6%;5%;5%;;36;30;10%;8%;4%;3%;
ALCC029.COB ;2062;1507;777;351; False;42;19;40;17;0;0;;5%;5%;5%;5%;;34;28;10%;8%;5%;3%;
ALCC030.COB ;2910;2324;1276;634; False;18;10;18;5;0;0;;1%;2%;1%;1%;;18;5;3%;1%;1%;0%;
