mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy;
T; Cobol_85/SQ224A.cob;571;0.05354991;0.23715;4.428578872;
T; Cobol_85/SQ225A.cob;652;0.062099004;0.34425;5.543567172;
T; Cobol_85/SQ226A.cob;1650;0.18494935;0.35025;1.893761724;
T; Cobol_85/SQ227A.cob;1112;0.116949475;0.27795;2.37666736;
T; Cobol_85/SQ228A.cob;783;0.079249632;0.33755;4.259325772;
T; Cobol_85/SQ229A.cob;609;0.060250378;0.32445;5.385028456;
T; Cobol_85/SQ230A.cob;512;0.05190016;0.4045;7.79381027;
T; Cobol_85/ST101A.cob;575;0.057818866;0.34725;6.005825157;
T; Cobol_85/ST102A.cob;78;0.011945009;0.349;29.2172237;
T; Cobol_85/ST103A.cob;473;0.047864568;0.32705;6.83282047;
T; Cobol_85/ST104A.cob;352;0.037163687;0.36745;9.887339757;
T; Cobol_85/ST105A.cob;445;0.04512105;0.3379;7.488744167;
T; Cobol_85/ST106A.cob;400;0.041765034;0.3212;7.690643805;
T; Cobol_85/ST107A.cob;522;0.050183427;0.335;6.675510622;
T; Cobol_85/ST108A.cob;648;0.061500442;0.37335;6.070688077;
T; Cobol_85/ST109A.cob;368;0.037399316;0.3807;10.17933055;
T; Cobol_85/ST110A.cob;105;0.00759927;0.3808;50.11007636;
T; Cobol_85/ST111A.cob;497;0.051549423;0.36285;7.03887607;
T; Cobol_85/ST112M.cob;386;0.020900273;0.31525;15.08353503;
T; Cobol_85/ST113M.cob;67;0.005149949;0.35975;69.8550607;
T; Cobol_85/ST114M.cob;467;0.04964906;0.3329;6.705061486;
T; Cobol_85/ST115A.cob;518;0.055649579;0.33975;6.10516748;
T; Cobol_85/ST116A.cob;184;0.028699446;0.3236;11.27547898;
T; Cobol_85/ST117A.cob;550;0.057499456;0.3662;6.368755906;
T; Cobol_85/ST118A.cob;629;0.058699822;0.359;6.115861816;
T; Cobol_85/ST119A.cob;999;0.109549499;0.3522;3.214985036;
T; Cobol_85/ST120A.cob;78;0.01124953;0.3458;30.73906199;
T; Cobol_85/ST121A.cob;473;0.048099089;0.3709;7.711164758;
T; Cobol_85/ST122A.cob;377;0.03824991;0.37735;9.86538269;
T; Cobol_85/ST123A.cob;121;0.008099163;0.3081;38.04096794;
T; Cobol_85/ST124A.cob;510;0.051098859;0.26945;5.273111871;
T; Cobol_85/ST125A.cob;434;0.049142218;0.3736;7.602424457;
T; Cobol_85/ST126A.cob;960;0.099970114;0.3582;3.583070837;
T; Cobol_85/ST127A.cob;1001;0.103749597;0.2746;2.646757269;
T; Cobol_85/ST131A.cob;960;0.104250085;0.2793;2.679134506;
T; Cobol_85/ST132A.cob;743;0.078299856;0.33625;4.294388485;
T; Cobol_85/ST133A.cob;905;0.096049857;0.33495;3.487251418;
T; Cobol_85/ST134A.cob;617;0.064599776;0.36245;5.61070057;
T; Cobol_85/ST135A.cob;593;0.063350308;0.3451;5.447487327;
T; Cobol_85/ST136A.cob;554;0.055449712;0.36465;6.576228926;
T; Cobol_85/ST137A.cob;750;0.081849873;0.3748;4.57911523;
T; Cobol_85/ST139A.cob;864;0.096200204;0.35505;3.690740614;
T; Cobol_85/ST140A.cob;947;0.10354985;0.3685;3.558672465;
T; Cobol_85/ST144A.cob;951;0.10410012;0.35315;3.392407233;
T; Cobol_85/ST146A.cob;688;0.070849669;0.38065;5.372643308;
;;;37.45822672;127.874;3.413776124;
