mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy;
T; Cobol_85/IF131A.cob;512;0.046650434;0.3564;7.639800307;
T; Cobol_85/IF132A.cob;633;0.056021678;0.33685;6.012850954;
T; Cobol_85/IF133A.cob;678;0.061499989;0.239;3.886179557;
T; Cobol_85/IF134A.cob;546;0.048199809;0.32255;6.691935232;
T; Cobol_85/IF135A.cob;1036;0.089499354;0.3554;3.970978383;
T; Cobol_85/IF136A.cob;904;0.078049946;0.3187;4.083282774;
T; Cobol_85/IF137A.cob;725;0.06170032;0.3324;5.387330244;
T; Cobol_85/IF138A.cob;659;0.058899593;0.33645;5.71226358;
T; Cobol_85/IF139A.cob;992;0.082900202;0.3612;4.357046078;
T; Cobol_85/IF140A.cob;543;0.048900056;0.3265;6.676883969;
T; Cobol_85/IF141A.cob;692;0.058750308;0.33265;5.662097976;
T; Cobol_85/IF142A.cob;367;0.035499573;0.343;9.662088048;
T; Cobol_85/IX101A.cob;507;0.048799801;0.20765;4.255140303;
T; Cobol_85/IX102A.cob;701;0.066500127;0.34835;5.238335861;
T; Cobol_85/IX103A.cob;757;0.07254951;0.2362;3.255707723;
T; Cobol_85/IX104A.cob;729;0.074000227;0.31125;4.206068179;
T; Cobol_85/IX105A.cob;875;0.071450162;0.3154;4.414265709;
T; Cobol_85/IX106A.cob;1233;0.109399545;0.34115;3.118385913;
T; Cobol_85/IX107A.cob;982;0.100149965;0.3192;3.187220285;
T; Cobol_85/IX108A.cob;1458;0.15234977;0.32235;2.115854852;
T; Cobol_85/IX109A.cob;1071;0.119299912;0.29365;2.461443559;
T; Cobol_85/IX110A.cob;620;0.072350395;0.3372;4.660651818;
T; Cobol_85/IX111A.cob;444;0.053550529;0.324;6.050360399;
T; Cobol_85/IX112A.cob;876;0.094949698;0.29645;3.122179493;
T; Cobol_85/IX113A.cob;769;0.085499501;0.2828;3.307621643;
T; Cobol_85/IX114A.cob;720;0.085549593;0.28905;3.378741965;
T; Cobol_85/IX115A.cob;721;0.085799265;0.29405;3.427185536;
T; Cobol_85/IX116A.cob;721;0.081499064;0.2938;3.604949377;
T; Cobol_85/IX117A.cob;720;0.081649685;0.34155;4.18311473;
T; Cobol_85/IX118A.cob;722;0.083599806;0.3321;3.972497257;
T; Cobol_85/IX119A.cob;731;0.083499384;0.3298;3.949729737;
T; Cobol_85/IX120A.cob;705;0.083900142;0.3323;3.960660758;
T; Cobol_85/IX121A.cob;762;0.086299896;0.33245;3.852264202;
T; Cobol_85/IX201A.cob;506;0.048850095;0.3445;7.0521869;
T; Cobol_85/IX202A.cob;664;0.064300716;0.3283;5.105697423;
T; Cobol_85/IX203A.cob;735;0.07064985;0.31305;4.431007285;
T; Cobol_85/IX204A.cob;739;0.071048927;0.2206;3.104902626;
T; Cobol_85/IX205A.cob;973;0.090399396;0.3174;3.511085406;
T; Cobol_85/IX206A.cob;892;0.084049773;0.30175;3.590134622;
T; Cobol_85/IX207A.cob;1081;0.096899188;0.25715;2.653789008;
T; Cobol_85/IX208A.cob;1525;0.145049858;0.29765;2.052053026;
T; Cobol_85/IX209A.cob;2859;0.289700389;0;0;!Raincode's parser could not parse this file
T; Cobol_85/IX210A.cob;2333;0.225859106;0.31405;1.390468623;
T; Cobol_85/IX211A.cob;1125;0.106249166;0.3414;3.213201692;
T; Cobol_85/IX212A.cob;1053;0.103899741;0.3429;3.300296966;
T; Cobol_85/IX213A.cob;1019;0.1025998;0.322;3.138407677;
T; Cobol_85/IX214A.cob;2358;0.233149695;0.3209;1.376368946;
T; Cobol_85/IX215A.cob;2805;0.322200215;0.29435;0.913562395;
T; Cobol_85/IX216A.cob;792;0.077399731;0.2454;3.170553655;
T; Cobol_85/IX217A.cob;687;0.073899734;0.3386;4.581883881;
T; Cobol_85/IX218A.cob;613;0.062650573;0.3439;5.489175654;
T; Cobol_85/IX301M.cob;70;0.010199928;0.3356;32.90219304;
T; Cobol_85/IX401M.cob;84;0.012949693;0.2444;18.87303429;
T; Cobol_85/NC101A.cob;1867;0.240413046;0.26485;1.101645707;
T; Cobol_85/NC102A.cob;1503;0.165499961;0.3265;1.972810133;
T; Cobol_85/NC103A.cob;2140;0.176089752;0.3678;2.088707581;
T; Cobol_85/NC104A.cob;2851;0.455599773;0.34035;0.747037247;
T; Cobol_85/NC105A.cob;3117;0.479250824;0;0;!Raincode's parser could not parse this file
T; Cobol_85/NC106A.cob;2533;0.274931943;0.32065;1.166288633;
T; Cobol_85/NC107A.cob;2033;1.062349606;0;0;!Raincode's parser could not parse this file
T; Cobol_85/NC108M.cob;777;0.071600568;0.35265;4.925240258;
T; Cobol_85/NC109M.cob;964;0.093851399;0.29925;3.188551297;
T; Cobol_85/NC110M.cob;89;0.007649374;0.33435;43.7094591;
T; Cobol_85/NC111A.cob;478;0.048300374;0.34445;7.131414759;
T; Cobol_85/NC112A.cob;1027;0.109999454;0.33815;3.074106168;
T; Cobol_85/NC114M.cob;500;0.048249924;0.2893;5.995864367;
T; Cobol_85/NC115A.cob;1104;0.113149774;0.34225;3.024751954;
T; Cobol_85/NC116A.cob;1493;0.176750028;0.30395;1.719660265;
T; Cobol_85/NC117A.cob;1208;0.137050915;0.3373;2.461129136;
T; Cobol_85/NC118A.cob;1037;0.107299268;0.2629;2.45015651;
T; Cobol_85/NC119A.cob;1176;0.120200086;0.3137;2.609815104;
T; Cobol_85/NC120A.cob;1147;0.130149424;0.31815;2.444497949;
